id,text,topics,topicgpt_correct
bafyreicq7trpgcu3v77bitexbchqr5ahfnij6nkaskxp42itfthrxjttqm,"Drones are very important to medical field ,emergency response teams, firefighters , agriculture, climate change.",[1] Emergency Response; [1] Agriculture; [1] Climate Science,Yes
bafyreic5un4yf6hr6xewgodckdvv47xim6sysu3j5audyhhnbxjgwhjj3e,This was the plan all along. Remember the attempts of his first admin to shrink national parks and allow drilling.,[2] Fossil Fuels; [2] Environmental Policy and Governance,Yes
bafyreiexih5qnukuuqi6cyl7xhdammyim4zqqxooxzpmnc5szgfganazzi,"Biden noted in the two years since Congress passed the Inflation Reduction Act and the CHIPS and Science Act, the private sector has jumped on the public investments to invest more than a trillion dollars in clean energy and advanced manufacturing.",[2] Renewable Energy; [2] Energy Policy and Transition,Yes
bafyreihoyf73esu3hlynt24bhl7hmlosmk75rehfwnjqtxxjhp43t2nbze,"This week is all about normalizing and empowering the choice to wear a mask for protection against infection, wildfire smoke, seasonal illness, air pollution, and more. Whether you're masking for health, solidarity, or self-expression, you belong here.",[1] Health; [2] Public Health and Environment; [2] Disease Prevention and Health Behavior,Yes
bafyreibu7dalefcwsipwoneigcnxsx4u7qmbkpe4jcxepca7qyfeblbnna,"www.thehindu.com/sci-tech/hea...

Two decades ago, India was praised for eradicating leprosy, but climate change and poverty could lead to its resurgence.

Climate change is causing cracks in our public health systems. It demands urgent interventions, visibility, and funding.",[1] Health; [2] Public Health and Environment; [1] Environment,Yes
bafyreifbkuktymhp6uzyajnfcz3d5hc7qro2auullyrxbeib525fqmm4te,"It's good to have on hand for flare-ups, esp if she just has sensitive skin in general.

I asked about location because she could have seasonal/environmental allergies that trigger her skin. Climate change affecting weather = more a/o different allergens, for longer periods of time.",[1] Health; [2] Public Health and Environment,Yes
bafyreigvamolpzt224pcfijeuh2frl75emwcmpy4cru4rz4i2zj5l6qo4e,"As Africa’s population and energy demand continue to rise, there is an urgent need to address Zombie Energy Systems to prevent significant delays in achieving reliable, sustainable, and equitable energy systems. www.catf.us/2025/01/tack...",[1] Energy; [2] Energy Policy and Transition,Yes
bafyreibiilvrospxv5odxwydgfdw4ov774ls2imiwpriymn35dh57zdtdq,"Spain's Guadix cave homes withstand climate change

Humans have always lived in caves. But these cave dwellings in Guadix, Spain, prove that this ancient form of housing has a future.
https://www.dw.com/en/spains-guadix-cave-homes-withstand-climate-change/video-71860994",[1] Sustainable Development; [2] Climate and Environment,Yes
bafyreigg72dazwtk5axmuz7gtndgfx65bzhddhkq5dozoi5uhb5tiz26mu,"CLOWN CABINET should read this....The moron Lee Zeldin and others who pretend the Earth is not changing due to climate change caused BY HUMANS....@EPA.@Interior.@USDA💩
FFS!  Wake up to science!! .@senate-gop.bsky.social 😭
.@housegop.bsky.social💩",[1] Environment; [2] Climate Change; [2] Environmental Policy and Governance,Yes
bafyreiewgn4g3m5hn35uidleajt7y3vrf2km75hsfgkvz5lndyftcy3byq,@tanyaplibersekmp.bsky.social could make the job of cleaning up plastics petro-chemicals easier by implementing laws that limit their use. But that would be like the devil 😈 changing sides! As it’s clear you and @australianlabor.bsky.social  prefer to support fossil fuel industries.,[2] Fossil Fuels; [2] Environmental Policy and Governance,Yes
bafyreicjyptxjit5j6dsqkz5swajvn6sfvr57sv7o6me2thtrqgxdnolfa,The fossil fuel industry won't go down without a fight. It's too lucrative to keep trying to convince people they're essential to our survival.,[2] Fossil Fuels,Yes
bafyreihkktms7ll4nnruaqaotz64tmgwmllffo2y3abmcbhb5kw32dpwpi,"Benjamin Sovacool @sovacool.bsky.social is a Coordinating Lead Author for IPCC working group 2 on Poverty, livelihoods, mobility and fragility. Also Felix Creutzig @efesce.bsky.social a Lead Author on the Special Report on Climate Change and Cities.

See:  bennettinstitutesussex.org/stories/ipcc...",[1] Climate Science; [2] Climate Change Impacts and Adaptation; [2] Climate Change Policy and Regulation,Yes
bafyreihn43z7bocxauqwhmpmra2hq322yrjkl66x4w4sxj2vseyshwls2y,"He’s referring to Mackenzie Scott, Jeff Bezo’s ex who has donated billions to causes Musk doesn’t like. Her donations prioritize organizations working on racial justice, LGBTQ+ equality, democracy, and climate change.",[1] Social Justice; [2] Climate Change,Yes
bafyreib3dhjyifgksscm3guohrsudpe5tdhcc3wbnpf67gmsqs6dn2dnyy,"Just got back from a few days in the panhandle of Florida, and allow me to say-this is not internet cheekiness- climate change has reached the point of being beyond theoretical, it’s experiential. Also- friends, do NOT eat raw oysters from down here. Like, EVER AGAIN. Not even in January.",[1] Environment; [2] Climate Change; [1] Health,Yes
bafyreifkk2gjja764bet46bl6sglsltzypnzqrhzg4wvps5nommi3mhcle,The oil and petroleum industry is an oligopoly.  All service stations are owned by a half-dozen suppliers.  It's in their own self-interest to price gouge.   Taco won't call for an investigation into collusion and this Congress won't approve it. So much for lower gas prices. Promises made.  He lied.,[2] Fossil Fuels; [2] Energy Policy and Transition,Yes
bafyreih7k5nylt7n7zkpfkx4fsfbvvy4dtq2kdmdoghu4qulzrwn7wt3ka,"Its presumptuous stating opinions then ask for facts a traditional LEFT is an INDUSTRIAL WORKING CLASS these issues are not, which relate to bourgeois standards ""building codes"" ""maintenance codes"" etc legal liability used to attack the homeless etc not climate change per se.",[1] Social Justice,No
bafyreicjvd4y5v2jq7wpyoaokyq5zltzy2jvoxdok36ap2tzikzijm75mu,"Have you forgotten that Obama had countless civilians droned to death, deported a record number of people, cut social programs like food stamps, expanded spying on citizens, expanded oil drilling, etc? He chuckles along with GWB and Trump, alike. Why do people think his opinion/words have any value?",[2] Fossil Fuels; [2] Social and Economic Sustainability; [2] Environmental Policy and Governance,Yes
bafyreif7rp7bofydsdpiu6xmrjzoabarfdas3nryba4ypggqgtrzvhzwoy,"Meh
Climate change turbulance will permanently ground all planes Suck it up
www.theguardian.com/business/202...",[2] Climate Change Impacts and Adaptation,Yes
bafyreih4myvxckbhtxjslrm6qdagzbqtmeypcn7sa5zgyqs4g3wtunadfq,"And, further, the least sustainable EV on the planet.",[2] Renewable Energy,No
bafyreih7te2bvfxsbzymfqoii24kiyflnf54vebqeg3tg3nhoixpxqwtpm,"i know this sounds crazy but the tennis world has only a few years to reconcile the effect of climate change on Aussie Open. 

IMO, it will be a safety concern  for fans and players. it’s just not sustainable as a mid January date.",[1] Environment; [2] Climate Change,Yes
bafyreiddk66uckxzlkezn734pigac4cqri54bvkkhdebrpll42vpfrgry4,"Some Memes, most real guesses. 

My 2025 bingo card. 

My 2025 Bingo Card
Some wild, some not.
Formula 1, Canada, Trump, Ukraine, Climate Change, Pandemics and Path of Exile 2",[1] Climate Science,Yes
bafyreiail6iz2earkttuim3xfjbbd6sz36hkmygimbjirj77e6r7usi35y,"Or, actually deal with things like climate change and wealth inequality so that people can have any hope for the future of the planet, or the future of their children.

I doubt there are many who are eager to raise kids to indentured servitude.",[1] Social Justice; [2] Climate Justice; [2] Economic and Social Equity,Yes
bafyreia75rrdrr743lmuzlyxghshsw5zqsmocy275oyvc5gbdumqfrtphq,Is this the same  @richardbranson.bsky.social who's adding to climate change by running tourist rocket trips to the outer atmosphere?,[2] Fossil Fuels; [2] Climate Change,Yes
bafyreici5zaxwgkfkrshgmtn4o2vc7s4nifvflmdrbrpxsznpko7b3x3tq,"www.ncronline.org/earthbeat/vi...
As we stand at this crossroads, Francis' papacy reminds us that we have a choice. We can continue down the path of extraction, pollution and destruction, or we can choose regeneration, harmony and care...",[1] Environment; [2] Pollution; [2] Energy; [2] Environmental Policy and Governance,Yes
bafyreid6yiwyyjck2jxkibvnodiedwdhwpvqpqgkjnhrmg2baeteqn2zfa,"Exxon (XOM) Discovers Natural Gas in Mediterranean Sea Off Egypt

https://www.byteseu.com/653126/

Exxon Mobil Corp. discovered natural gas off the coast of Egypt after successfully drilling an exploration well in the Mediterranean Sea. Exxon completed the Nefertari-1 well in the North Marakia …",[2] Fossil Fuels; [1] Energy,Yes
bafyreibyy5d4y6qcp6wzcsxb7osq635jw6f7vfbigq5txr5bhb26ktnrue,"{𝗮𝙅𝙎𝘿} 𝙸𝙲𝚈𝙼𝙸︱85+ scientists blast DoE’s climate report as error-ridden, accusing RFK Jr.’s Trump-aligned agency of cherry-picking data to downplay threats. Critics warn it’s cover for scrapping the endangerment finding, with EPA chief Zeldin vowing to drive a ❝dagger❞ into climate rules.",[1] Environment; [2] Climate Change; [2] Environmental Policy and Governance,Yes
bafyreif4sjsym4bljuzuzse3mwl3tucjaqurntidsawpaj4itf3qj2atp4,Can somebody find a way of doing this for him but for climate change mitigation and/or basic human decency?,[2] Climate Change; [2] Climate Justice,Yes
bafyreidmlgxv4zj7gwrsbafbyqhkenugx7nwwc3443nbuqm3la7yiltham,"The Inflation Reduction Act signed by President Biden is helping us combat climate change while fueling the transition to clean energy — all while saving families an average of $800 annually on their home energy bills!
... and not a single Republican voted for it! 😤",[1] Energy; [2] Energy Policy and Transition; [2] Climate Change,Yes
bafyreihe4tzcn26zekdqu4zdkbvwj7r6r5iw6wpc6qzgpcchqlrhsbtkmi,That's the point!  You've handed anyone who wants to undercut science the tools right here!  Why exactly would anyone trust scientists about vaccines and climate change when they so willingly advertise that they are willing to lie and obfuscate  in service of an agenda? (I believe climate science),[2] Climate Change Communication and Public Perception,Yes
bafyreicprqqaggmhjk26pr6wey5q6s6ptmwmty2ggbwrvx7yt5wymuia7e,"German-Canadian Raw Materials Alliance Strengthens Supply Security - Enertrag and Rock Tech Rely on Green Power
->Renewable Energy Industry | #Tech | More info from EcoSearch",[2] Renewable Energy; [1] Energy,Yes
bafyreiae7yjyhli2yhzlhn3h3vnoup24euatipd2zwm6w7tvjwcqejnoby,"Sure, we're abandoning decarbonization, clean-energy manufacturing, cancer research, and training new doctors and scientists — but the U.S. had to make that tradeoff to invest in ethnic cleansing, which is obviously the industry of the future.",[1] Energy; [2] Energy Policy and Transition; [1] Social Justice,Yes
bafyreifelpah6t7x5f7jolcoz7kq7hcauyzylwvg3jmtolf6dhy7jsd5we,"50 Fake Climate Change Predictions For Power and Control
21. 2008: Arctic will Be Ice Free by 2018
22. 2008: Climate Genius Al Gore Predicts Ice-Free Arctic by 2013
25. 2009: Climate Genius Al Gore Moves 2013 Prediction of Ice-Free Arctic to 2014
www.aei.org/carpe-diem/5...",[2] Climate Change Communication and Public Perception,Yes
bafyreiamzkm6w6wbduhsdkjklpk53qgoew2wdc7cmqkfdjwf3v52drnpm4,Introducing my first weekly round up of climate change and environmental news on my brand new substack - check it out here 🌱🍄 open.substack.com/pub/theniche... #sciencenews #sciencewriter #science,[1] Environment; [2] Climate Change,Yes
bafyreiersv74qjv4zmyuog43zm7u4qpucxxm3n7i2r3bmkaj6gahp7zifm,"Abolish ICE. Defund the Police. Medicare for All. Green New Deal. These ideas are rational, not radical. 

The way this country hates “the radical left” leads it right back into crimes against humanity.",[1] Social Justice; [2] Climate Justice,Yes
bafyreiehfv7nzyfaggjxxsbnep7jjyja7tuokie7vcawf4muq6bk5x2aq4,"FALNet for real-time air pollution prediction, environmental risk assessment, and decision-making support. [5/5 of https://arxiv.org/abs/2503.24043v1]",[1] Environment; [2] Pollution; [2] Environmental Policy and Governance,Yes
bafyreih3kodo2c77nolyimlwnqzbg44b3ulfyyjt2nvh4dmo2csac2di4a,The US NAS is conducting a fasttrack study on anthropogenic greenhouse gas emissions.  Submission of papers for consideration is welcome.  survey.alchemer.com/s3/8416653/R...,[2] Climate Change,Yes
bafyreiby2q7nhrrnjngz2slx5b3kv67zmoyyj3s5vqg23rqfjrpx6pbobi,"🌾 Impact #4: Digital Technologies Driving Sustainable Agriculture 🌍

Watch the video and get a glimpse into how we’re driving sustainability & competitiveness in agriculture 🎥

#HorizonEurope #AgRibot #Sustainability #SmartFarming #Innovation",[2] Agricultural Technology; [2] Sustainable Agriculture,Yes
bafyreihh6ggq2gj7znsjchs24i5dwjjkknguhxhar573boqlrtsg7ua5o4,"This will further accelerate global climate change, destroy wildlife and steal every American’s rights to share in our beautiful national lands.",[1] Environment; [2] Climate Change,Yes
bafyreifynzaeofnfmmkpqhe6eujppqrycoey77e4jy5yik3kweo4yzhyxa,"Our country and our world cannot survive four years of this madness. 

It’s not sustainable!

It’s just not!",,No
bafyreihljgw3nm3fmet67heokj7i2zvggszsbzicfsl63ouyhkdb3es6py,"""In April this year, China installed more solar power than Australia has in all its history. In one month.""

Another benefit of green energy is that it provides freedom from foreign dependence. And the wars over oil that dominated the 20th century, and so far the 21st.",[2] Renewable Energy; [2] Energy Policy and Transition,Yes
bafyreigua64cj7lx2q5lvalik7umr5n2y5vrtcirwsxhfg7tetplxbwcfq,"📯🇩🇪Germany abandons the long-term, fixed-price contracts to buy green power from new renewable energy projects.
""The energy transition can only succeed with more pragmatism and realism"" said the country's Economy Minister Katherina Reiche while presenting the policy change
🧵",[2] Renewable Energy; [2] Energy Policy and Transition,Yes
bafyreid75hywbrmk4amb7f66kf6feoo5ybemw423c7sjn72vwja2su7gnu,But reducing carbon pollution is more important than reducing tire particulates.,[2] Pollution; [2] Climate Change,Yes
bafyreiclou3aklwglejwkk4rlllmji3erdjopni3r5qays3or4p2qp3gla,"How cutting US air pollution could save 6,000 lives a year by 2030

Read more

#Pollution #Fossil #Climate",[1] Environment; [2] Pollution; [2] Fossil Fuels; [2] Climate Change,Yes
bafyreifwyd2gyszv4awa6zqvqt27hicfmc7jhknaotix7n5zag736hvy4m,"HMMM, just how many shares of Fossil Fuel stock does Donnie own anyway",[2] Fossil Fuels,Yes
bafyreidq5zuvrvgu4ypdkp2bpo6zifnuruarrwzqekvgxzbg7ovq3evs3m,"KC.. Fully agree about Climate Change, right to unpolluted air and clean water. Sad to see people in Flint and Louisiana still fighting for removal of lead pipes..LA doesn’t even have pipes for sewage, or septic tanks !

Shameful.. hospitals in Rural areas to close with no Medicaid ‼️No cellphones 😰😰",[1] Environment; [2] Public Health and Environment; [2] Economic and Social Equity,Yes
bafyreiet6kz5hs4peicbtxbsnjryrb5a5xtu6re27btacemr7ykaq6rgo4,I’m in zone 8-9 but hey with climate change who really knows? 😄,[2] Climate Change Impacts and Adaptation,Yes
bafyreie2ejsv6etk4a4psm4mjcurtqqsumtofs5kzbvoctjczyo5nhoom4,A comic book about climate change refugees made with AI is so grotesque I can barely put it into words.,[1] Social Justice; [2] Climate Justice,Yes
bafyreiaq2guna4hrgyqefjefoim665tr7tc7ub3fnzvl6mfgicrftkt77q,I'm sure that the world getting destroyed by climate change will really decrease the price of eggs. How can people just be this selfish with the future of the planet?,[2] Climate Change; [2] Climate Justice,Yes
bafyreiazc5t6lq4rx5rphdq55h545sklg2nveeyzxxotnm2z5y4d3szh5a,Your weekly update on economic justice news from @hrw.org: Climate-related relocation of indigenous community in the Solomon Islands. Housing policy problems in Los Angeles. A new national plan for businesses in Malaysia. Child labor in US. Toxic industrial pollution around the world. Links below.,[1] Social Justice; [2] Climate Justice; [2] Environmental Policy and Governance; [2] Economic and Social Equity; [2] Climate Change Impacts and Adaptation,Yes
bafyreifrwvjmvjyjlholew2ujg2goo7xssbx7i65au35il2cv6lrandzse,"""We are messing with the trigger that causes climate change....the outcome is likely to be ferocious.""

- Prof Russell Coope (1930-2011)",[2] Climate Change,Yes
bafyreibyi6uos6k7nocqdfxv33glcl64i75jlduv2k3brqvfmkltns2y74,"Remember this one?
Doug Ford government spent $231M to scrap green energy projects",[2] Renewable Energy; [2] Energy Policy and Transition,Yes
bafyreif45vvk34cbzguju7axtzpudfoyabhpdhvro5cagpkq2teahk774u,"Since I’m trying for a doom free Friday, I will say that the average low temp in May here has been above average. And that’s in line with how climate change is expected to impact the Yukon. We aren’t getting higher highs, just higher lows. 

(16.2 is the max we’ve hit in May.)",[1] Environment; [2] Climate Change,Yes
bafyreih2cnh4t45em5qw7o37yim5j27uo7stuiqrq7zobq4ba5xpygjyim,"Texas could be Trump’s one clean energy bright spot—as oil drillers turn to geothermal
The state’s wildcatting entrepreneurs, embrace of light regulations, and, drilling experience have set the stage for a world-leading boom in geothermal energy production..  

www.fastcompany.com/91277609/tex...",[2] Renewable Energy; [2] Energy Policy and Transition,Yes
bafyreig4x4bpvnqeh6agcyltreaei3ebjgf6p7pe7uup7tcjng3kaof5ie,Will any of these case of extreme heat in Europe and the USA change governments policy on climate change. No as they are in the hands of fossil fuel companies and making money . This is happening at 1.3c and we have less than 3 years to stop going passed 1.5c . No hope of that .,[1] Environment; [2] Climate Change; [2] Fossil Fuels; [2] Energy Policy and Transition,Yes
bafyreihhkb2kpam7afgxojbpf6zrakhhui35gaae6ydgiykpy4mehrod4q,"Let's be clear.  Women aren't just reacting to Trump's deplorable treatment of women. They are also reacting to the GOP's polices of putting children in cages, putting lead in water, ignoring climate change,tax scams for the rich and sabotaging healthcare",[1] Environment; [2] Climate Change; [2] Pollution; [2] Health Policy and Social Issues; [2] Economic and Social Equity,Yes
bafyreidzoeovk2rwgm6h3ccilk4h24addifiztrnu3xlifg6csmybopgkq,If we could somehow harness David's naivete as an energy source we could eliminate global warming,[1] Energy; [2] Climate Change,Yes
bafyreihvl7eypflk6pmb3a4j4pk7fqaoh6symxd2fdyra7vw7xx3hfrnca,"#QP your Fighter

Fox in The Ring
Every punch carries the weight of the wild. 🥊🦊

#Ai #CreativeAi #GPT5 #AiGenerated #SynthArt #PromptArt #GenerativeArt #AiIllustration #AiArtists #AiArtCommunity #AiCommunity

Integrating Joy, differentiating with Sprinkles.✨",,No
bafyreife7cdpntxrvfvkhe5asrh6jvwae7et7bvrpzo7kdg4u7xcjjy6za,"As if space junk isn't enough pollution already. And who needs scientists warning of pollution from these launches....geesh, it's not rocket science to figure that out....🤣🤣🤣...sorry dumb joke.",[1] Environment; [2] Pollution,Yes
bafyreifwrxflbez2n2beysnhjvq3zdmitgl3uqm4t5subkwj5t6vh4ntei,"Climate change disclosure and carbon performance of Chinese listed companies: exploring the moderating effects of climate governance and corporate environmental governance 
Frontiers
www.frontiersin.org/journals/cli...",[2] Environmental Policy and Governance; [2] Climate Change; [2] Climate Change Policy and Regulation,Yes
bafyreiccejao4nhwxtztllkbjx4aleuwgqr6sipaao75es5sabfarnvbb4,"Yeah no you're good. Absolutism is the rejection ( either by choice or by a lack of effort ) to look for nuance.

""Immigration is bad"" or ""men are evil"" or ""all cops are bastards"" or ""climate change is a hoax"" are all very absolutist positions to have, when the reality on each requires more detail",[1] Climate Science,No
bafyreidrgqqezqzmaqrk6o7egubm4do34rlfrqptddaq6r2qm3s4wxuav4,"Jordan Launches New Solar Energy Support Program To Reduce Household Bills
->SolarQuarter | #SolarEnergy #RenewableEnergy | More info from EcoSearch",[2] Renewable Energy; [2] Energy Policy and Transition,Yes
bafyreied2mhtfbtxpkzugopt74ocudxae5nq3m4dyj4yjex3j444pkv2wu,"good morning ☀️

I have no meetings today and the smallest to-do list ever so I am going to try and soak up as much beautiful spring sun as I can and get some book club reading in and some chores done!

manifesting the best energy to you all, you're amazing and strong and this week will go well!",,No
bafyreidhqcah3plxk662fo5lem4httshhntytwmfzkspvinocakhl6umla,"No one takes Climate Change or Biodiversity loss seriously.

www.bbc.co.uk/news/article...",[1] Environment; [2] Climate Change,Yes
bafyreie4bjz2xogbbyhglruniojszfvrembemzhog6us6heyejkuzl3sny,"🌐 2024 was officially the hottest on record

#Agreement   #Climate Change   #Paris   #Paris Agreement   

https://www.dw.com/en/2024-was-officially-the-hottest-on-record/a-71255536?maca=en-rss-en-all-1573-rdf",[1] Environment; [2] Climate Change; [2] Climate Change Policy and Regulation,Yes
bafyreidmvs6v2xinysvkbaklutdeasxumewwnuw75xovgdjl2jafb5lbum,Our principal David Saah is currently on a two week trip across Latin America working to strengthen collaborations and localize GeoAI solutions for sustainable landscape management. Learn more: tinyurl.com/4j8rnspn,[2] Climate and Environment,Yes
bafyreib6a6z5npvn23gihn5r6ongu3o3ur4hgobyr2n7rfkdrkm3k3q3gu,"UBI will be the next New Deal for the next generation... after the market crashes and the revolution.. If we are to survive... Infrastructure, climate change, healthcare and UBI.",[1] Sustainable Development; [2] Social and Economic Sustainability; [2] Sustainable Infrastructure and Mobility; [2] Climate Change,Yes
bafyreicu2zu6oyfuo4ckhn7azyhftulpnbr7peqlyn354rcfya7popsgse,Would an updated Green Hornet be a retired high-level oil exec that secretly supports green energy and climate justice?,[2] Fossil Fuels; [2] Renewable Energy; [2] Climate Justice,Yes
bafyreidgaizxz4xys5kllhiuvju55tap62ct7mtbht5tgxjyjef7y3y7by,"Negative emotional reactions were lower at baseline in countries at higher risk from climate impacts, and increased more after receiving scientifically accurate information about climate change in countries more structurally and societally vulnerability to climate change.

Overall.. 4/",[2] Climate Change Communication and Public Perception,Yes
bafyreiek4qfiavodcskh5ot3wxrioit2ntdzqb46qylcmdcx2ghdzfecvi,"⚠️ 2025-06-06
Sévérité: Modérée
La fumée cause ou risque de causer une mauvaise qualité de l'air et une visibilité réduite.  Des niveaux élevés de pollution de l'air en raison de la fumée causée par les feux de forêt devraient reven...",[1] Environment; [2] Pollution; [2] Environmental Impact on Society and Health,Yes
bafyreidv3fakkmhishp6ojdr5dm7iscpuq52vaf6mkulgxjbqmiyrpdbsi,"Like it or not, either a capitalist solution is found for climate change or there won't be a solution.",[1] Climate Science,No
bafyreidl5jcpu7qz4xtkwargmxfts3n7vb47dcjyoongxf5qemjaui5m44,"California just made history! 🎉  The Golden State is now powered by 2/3 clean energy, becoming the world's largest economy to reach this incredible milestone.  #CleanEnergy #California #RenewableEnergy #ClimateAction",[2] Renewable Energy; [2] Energy Policy and Transition,Yes
bafyreiea37o7kjoaph5i7br7cieyxvzy2yhuqruz24oqe4wyua7dlgwbci,"The current Tory position on climate change amounts to ‘it’s happening, it’s serious, we have no meaningful plan to address it, and we intend to make it worse’.
www.theguardian.com/politics/202...",[2] Climate Change Policy and Regulation,Yes
bafyreigwfu2ms5gjxgiktkhflxvnjwfddpz5id4i7mh4ur6d7u27zgbn3m,"🗺️ If Luxembourg wants to promote sustainable mobility, we need safe, continuous, and comfortable cycling infrastructure – not narrow lanes and broken links.",[2] Sustainable Infrastructure and Mobility,Yes
bafyreien3f4twya5dwojn6s36jijvwh4kahlnzl7bhgmqzeuvwvruy3or4,"I love to celebrate orgs that drop fossil fuel sponsors. But they usually do it VERY quietly so I'm often not sure who broke up with who.

So at the risk of the first breakup not taking, congrats to NT City 2 Surf for no longer giving naming rights to Santos. You were too good for them! Run free!",[2] Fossil Fuels; [2] Energy Policy and Transition,Yes
