cid,text,llm_theme_summ,llm_theme_theme,lda_topic_id,lda_topic_keywords,bert_topic_keywords,bert_topic_name,lda_keywords_llm_truth,bert_keywords__llm_truth,llm_theme_llm_truth,llm_summ_llm_truth,lda_keywords_human_truth,bert_keywords_human_truth,llm_theme_human_truth,llm_summ_human_truth,,,,
bafyreihtry46lfcpzk2shdh4ojxvtfhpigdewjinhmpm7wct5qnsttuu4a,My bears coming over and I'm struggling to find the energy to clean my room 😭,Cleaning fatigue,Cleaning fatigue,99,"energy, clean, renewable, green, bill","energy clean, shower, apartment, oven, kitchen, having clean, clean room, cat, clean, cleaning",30_energy clean_shower_apartment_oven,FALSE,FALSE,TRUE,TRUE,No,Yes,Yes,Yes,,,,
bafyreif7ar4oleld7d736hnf7cpp5puvjwtgg2il2lj3yy6psxotvhs65y,"Yes, best of luck Nigel. A vital role. Perhaps you could spare the time for a chat over a coffee at some point as we live pretty close to each other :)

Can I also draw your attention to this clear verdict on fossil fuel based #CCS which the CCC has so far ignored👇

youtu.be/_CvWLnGNzDc?...",Fossil fuel deception,Fossil fuel deception,65,"billion, fucking, subsidy, lol, room",,-1_clean energy_social_green_bsky social,FALSE,FALSE,FALSE,FALSE,No,No,No,Yes,,,,
bafyreidt6a3uuc7fjl4rvkxjk3rj2vzpziihshbjdc3vutk75qehkdjsl4,"Enercare to customers and a happy New Year:
""Thank you for being a valued customer. As a result, your residential HVAC will increase by 2.6% effective February, 1, 2025"".
This is how this massive, monopoly, fossil fuel corporation bleeds people in Canada.
Dump Enercare! 🤮🤮🤮
Go with a heat pump!",Fossil fuel deception,Oil's Deceptive Greed,91,"power, nuclear, million, capitalism, u","canada, carney, canadian, alberta, canadians, smith, poilievre, cdnpoli, mark carney, ottawa",8_canada_carney_canadian_alberta,FALSE,FALSE,TRUE,TRUE,No,Yes,No,No,,,,
bafyreidvlppvxbw3fdvwnpsohfd6gzdgasl2vnrzvr45jwlgtx6twkqkqa,"MAGA:""Climate change doesn't exist! It's not real! The facts don't support it!""

Also MAGA: Forbids us from researching it or anything else.

This regime IS authoritarian and IS a threat to freedom.",MAGA Climate Deception,MAGA Climate Deception,60,"think, never, start, live, trying","maga, maga climate, nascar, maga maga, maga believe, believe human, crud, lasers, magas, thing global",63_maga_maga climate_nascar_maga maga,FALSE,FALSE,TRUE,TRUE,No,No,Yes,Yes,,,,
bafyreiesmgjaayh6ebccbzmdkahlfjhyzczxqzx7l2yatsletnqdkojq3m,"👇 Worth adding (in the article link below) that he's the cabinet member for 'climate change, decarbonisation and sustainability'.....

.....yet, he's a FARMER.

Massive conflict of interest!!!!😡",Oil's Deceptive Greed,Climate rollbacks,87,"problem, kind, thanks, climate, link","doesn believe, believes, donald, trump, change hoax, donald trump, doesn, thinks, believes climate, hoax",2_doesn believe_believes_donald_trump,FALSE,FALSE,FALSE,FALSE,Yes,Yes,Yes,No,,,,
bafyreiaw2zn34pmgwkwdhr3htkhtyvv3qnzdrrqyzpe2whazfxcqi2wopa,Fracking is evil,Oil's Deceptive Greed,Oil's Deceptive Greed,95,"fracking, address, single, voter, fall","fracking, earthquakes, fracking waste, wastewater, pennsylvania, hydraulic, shale, earthquake, ohio, tap water",11_fracking_earthquakes_fracking waste_wastewater,FALSE,FALSE,TRUE,TRUE,No,Yes,Yes,No,,,,
bafyreidggu3rrii5dodctmnbupkljogq5ghra5faerh4ao5ow6z7mxi5rm,"The European Union is making progress towards most of the UN Sustainable Development Goals, or #SDGs, a new Eurostat report has found. 🇪🇺 

sustainabilityonline.net?p=12096",Green Energy Sovereignty,Climate action collaboration,7,"development, love, working, free, sustainable","awards, sustainable development, sustainability, inclusive, architectural, apply, deadline, development goals, ac uk, development",23_awards_sustainable development_sustainability_inclusive,FALSE,TRUE,FALSE,FALSE,No,Yes,No,No,,,,
bafyreie7i3rayvwlotplyzgrkoe5l45fd3s3vq6jeyjad4uccstkxqq5um,"Rather than paying a fair share of fossil fuel-driven climate harms, Woods expects governments to pay his company to transition to less carbon-intensive energy sources (as defined by ExxonMobil)… #greenwashing",Oil's Deceptive Greed,Greenwashing deception,22,"climate, change, talk, denier, taking",,-1_clean energy_social_green_bsky social,FALSE,FALSE,TRUE,FALSE,No,No,Yes,Yes,,,,
bafyreicq7trpgcu3v77bitexbchqr5ahfnij6nkaskxp42itfthrxjttqm,"Drones are very important to medical field ,emergency response teams, firefighters , agriculture, climate change.",Water resilience,Water resilience,38,"climate, important, change, increasing, biggest","ai, data centers, centers, data, ai data, data center, llm, chatbot, intelligence, robotics",3_ai_data centers_centers_data,FALSE,FALSE,FALSE,FALSE,Yes,No,No,No,,,,
bafyreic5un4yf6hr6xewgodckdvv47xim6sysu3j5audyhhnbxjgwhjj3e,This was the plan all along. Remember the attempts of his first admin to shrink national parks and allow drilling.,Climate rollbacks,Climate rollbacks,97,"american, land, another, national, federal","drilling, oil drilling, drill, oil, drilling oil, drilling mining, baby drill, drill baby, gas drilling, alaska",6_drilling_oil drilling_drill_oil,FALSE,FALSE,TRUE,TRUE,Yes,Yes,Yes,Yes,,,,
bafyreiexih5qnukuuqi6cyl7xhdammyim4zqqxooxzpmnc5szgfganazzi,"Biden noted in the two years since Congress passed the Inflation Reduction Act and the CHIPS and Science Act, the private sector has jumped on the public investments to invest more than a trillion dollars in clean energy and advanced manufacturing.",Renewable Energy Momentum,Renewable energy surge,72,"level, interest, act, record, temperature","tax credits, energy tax, big beautiful, credits, inflation reduction, reduction act, senate, ira, tax, districts",28_tax credits_energy tax_big beautiful_credits,FALSE,FALSE,TRUE,TRUE,No,No,Yes,Yes,,,,
bafyreihoyf73esu3hlynt24bhl7hmlosmk75rehfwnjqtxxjhp43t2nbze,"This week is all about normalizing and empowering the choice to wear a mask for protection against infection, wildfire smoke, seasonal illness, air pollution, and more. Whether you're masking for health, solidarity, or self-expression, you belong here.",Climate injustice exposed,Climate unease,4,"climate, change, event, heat, extreme","air pollution, air, pollution, exposure, air quality, quality, pm2, airpollution, asthma, mask",1_air pollution_air_pollution_exposure,FALSE,FALSE,FALSE,FALSE,Yes,Yes,No,No,,,,
bafyreibu7dalefcwsipwoneigcnxsx4u7qmbkpe4jcxepca7qyfeblbnna,"www.thehindu.com/sci-tech/hea...

Two decades ago, India was praised for eradicating leprosy, but climate change and poverty could lead to its resurgence.

Climate change is causing cracks in our public health systems. It demands urgent interventions, visibility, and funding.",Deadly Heat Crisis,Climate unease,20,"health, care, anything, social, increase",,-1_clean energy_social_green_bsky social,FALSE,FALSE,FALSE,FALSE,Yes,No,No,No,,,,
bafyreifbkuktymhp6uzyajnfcz3d5hc7qro2auullyrxbeib525fqmm4te,"It's good to have on hand for flare-ups, esp if she just has sensitive skin in general.

I asked about location because she could have seasonal/environmental allergies that trigger her skin. Climate change affecting weather = more a/o different allergens, for longer periods of time.",EV transition barriers,Water pollution crisis,38,"climate, important, change, increasing, biggest","harris, kamala, kamala harris, fracking, green new, new deal, genocide, aoc, jill stein, pro",18_harris_kamala_kamala harris_fracking,FALSE,FALSE,FALSE,FALSE,No,No,No,No,,,,
bafyreigvamolpzt224pcfijeuh2frl75emwcmpy4cru4rz4i2zj5l6qo4e,"As Africa’s population and energy demand continue to rise, there is an urgent need to address Zombie Energy Systems to prevent significant delays in achieving reliable, sustainable, and equitable energy systems. www.catf.us/2025/01/tack...",Renewable energy surge,EV transition barriers,99,"energy, clean, renewable, green, bill",,-1_clean energy_social_green_bsky social,FALSE,FALSE,FALSE,FALSE,No,No,No,No,,,,
bafyreibiilvrospxv5odxwydgfdw4ov774ls2imiwpriymn35dh57zdtdq,"Spain's Guadix cave homes withstand climate change

Humans have always lived in caves. But these cave dwellings in Guadix, Spain, prove that this ancient form of housing has a future.
https://www.dw.com/en/spains-guadix-cave-homes-withstand-climate-change/video-71860994",Climate unease,Water resilience,90,"emission, state, gas, greenhouse, administration",,-1_clean energy_social_green_bsky social,FALSE,FALSE,FALSE,FALSE,No,No,No,No,,,,
bafyreigg72dazwtk5axmuz7gtndgfx65bzhddhkq5dozoi5uhb5tiz26mu,"CLOWN CABINET should read this....The moron Lee Zeldin and others who pretend the Earth is not changing due to climate change caused BY HUMANS....@EPA.@Interior.@USDA💩
FFS!  Wake up to science!! .@senate-gop.bsky.social 😭
.@housegop.bsky.social💩",Science under attack,Science under attack,64,"climate, change, risk, study, fact","doesn believe, believes, donald, trump, change hoax, donald trump, doesn, thinks, believes climate, hoax",2_doesn believe_believes_donald_trump,TRUE,FALSE,TRUE,TRUE,Yes,Yes,Yes,Yes,,,,
bafyreiewgn4g3m5hn35uidleajt7y3vrf2km75hsfgkvz5lndyftcy3byq,@tanyaplibersekmp.bsky.social could make the job of cleaning up plastics petro-chemicals easier by implementing laws that limit their use. But that would be like the devil 😈 changing sides! As it’s clear you and @australianlabor.bsky.social  prefer to support fossil fuel industries.,End fossil fuels,Plastic treaty failure,5,"fuel, fossil, industry, stop, company",,-1_clean energy_social_green_bsky social,TRUE,FALSE,TRUE,TRUE,Yes,No,No,Yes,,,,
bafyreicjyptxjit5j6dsqkz5swajvn6sfvr57sv7o6me2thtrqgxdnolfa,The fossil fuel industry won't go down without a fight. It's too lucrative to keep trying to convince people they're essential to our survival.,Oil's Deceptive Greed,Fossil fuel deception,5,"fuel, fossil, industry, stop, company","fuel industry, fossil fuel, fuel, fossil, industry, fuel interests, fuel companies, people fossil, new fossil, fuel projects",16_fuel industry_fossil fuel_fuel_fossil,TRUE,TRUE,TRUE,TRUE,Yes,Yes,Yes,Yes,,,,
bafyreihkktms7ll4nnruaqaotz64tmgwmllffo2y3abmcbhb5kw32dpwpi,"Benjamin Sovacool @sovacool.bsky.social is a Coordinating Lead Author for IPCC working group 2 on Poverty, livelihoods, mobility and fragility. Also Felix Creutzig @efesce.bsky.social a Lead Author on the Special Report on Climate Change and Cities.

See:  bennettinstitutesussex.org/stories/ipcc...",Climate action collaboration,Climate action collaboration,76,"climate, report, change, effect, canada",,-1_clean energy_social_green_bsky social,FALSE,FALSE,TRUE,TRUE,Yes,No,Yes,Yes,,,,
bafyreihn43z7bocxauqwhmpmra2hq322yrjkl66x4w4sxj2vseyshwls2y,"He’s referring to Mackenzie Scott, Jeff Bezo’s ex who has donated billions to causes Musk doesn’t like. Her donations prioritize organizations working on racial justice, LGBTQ+ equality, democracy, and climate change.",Climate justice action,Climate justice action,48,"climate, said, change, forward, talking","musk, elon musk, rigged, charlie, doge, billion dollars, backing climate, bunk, eugenicist, elon",67_musk_elon musk_rigged_charlie,FALSE,FALSE,TRUE,TRUE,No,No,No,Yes,,,,
bafyreib3dhjyifgksscm3guohrsudpe5tdhcc3wbnpf67gmsqs6dn2dnyy,"Just got back from a few days in the panhandle of Florida, and allow me to say-this is not internet cheekiness- climate change has reached the point of being beyond theoretical, it’s experiential. Also- friends, do NOT eat raw oysters from down here. Like, EVER AGAIN. Not even in January.",Climate Denial Backlash,Water pollution crisis,15,"climate, change, reality, yeah, oh",,-1_clean energy_social_green_bsky social,FALSE,FALSE,FALSE,FALSE,Yes,No,No,Yes,,,,
bafyreifkk2gjja764bet46bl6sglsltzypnzqrhzg4wvps5nommi3mhcle,The oil and petroleum industry is an oligopoly.  All service stations are owned by a half-dozen suppliers.  It's in their own self-interest to price gouge.   Taco won't call for an investigation into collusion and this Congress won't approve it. So much for lower gas prices. Promises made.  He lied.,Oil's Deceptive Greed,Oil's Deceptive Greed,36,"oil, drilling, gas, price, trump",,-1_clean energy_social_green_bsky social,TRUE,FALSE,TRUE,TRUE,Yes,No,Yes,Yes,,,,
bafyreih7k5nylt7n7zkpfkx4fsfbvvy4dtq2kdmdoghu4qulzrwn7wt3ka,"Its presumptuous stating opinions then ask for facts a traditional LEFT is an INDUSTRIAL WORKING CLASS these issues are not, which relate to bourgeois standards ""building codes"" ""maintenance codes"" etc legal liability used to attack the homeless etc not climate change per se.",Fascism’s fatal flaws,Climate rollbacks,51,"climate, change, issue, crisis, article",,-1_clean energy_social_green_bsky social,FALSE,FALSE,FALSE,FALSE,No,No,No,No,,,,
bafyreicjvd4y5v2jq7wpyoaokyq5zltzy2jvoxdok36ap2tzikzijm75mu,"Have you forgotten that Obama had countless civilians droned to death, deported a record number of people, cut social programs like food stamps, expanded spying on citizens, expanded oil drilling, etc? He chuckles along with GWB and Trump, alike. Why do people think his opinion/words have any value?",Capitalism's climate doom,Fascism’s fatal flaws,60,"think, never, start, live, trying",,-1_clean energy_social_green_bsky social,FALSE,FALSE,FALSE,FALSE,No,No,No,No,,,,
bafyreif7rp7bofydsdpiu6xmrjzoabarfdas3nryba4ypggqgtrzvhzwoy,"Meh
Climate change turbulance will permanently ground all planes Suck it up
www.theguardian.com/business/202...",Aviation decarbonization,Aviation decarbonization,29,"rate, climate, change, worst, amazon","aviation, sustainable aviation, aviation fuel, flights, saf, heathrow, planes, airport, airlines, fly",34_aviation_sustainable aviation_aviation fuel_flights,FALSE,TRUE,FALSE,FALSE,No,Yes,No,No,,,,
bafyreih4myvxckbhtxjslrm6qdagzbqtmeypcn7sa5zgyqs4g3wtunadfq,"And, further, the least sustainable EV on the planet.",EV transition barriers,EV transition barriers,13,"life, planet, human, house, right","ev, evs, vehicles, electric, cars, charging, car, electric cars, renault, electric vehicles",55_ev_evs_vehicles_electric,FALSE,TRUE,TRUE,TRUE,No,Yes,Yes,Yes,,,,
bafyreih7te2bvfxsbzymfqoii24kiyflnf54vebqeg3tg3nhoixpxqwtpm,"i know this sounds crazy but the tennis world has only a few years to reconcile the effect of climate change on Aussie Open. 

IMO, it will be a safety concern  for fans and players. it’s just not sustainable as a mid January date.",Deadly Heat Crisis,Deadly Heat Crisis,44,"lot, next, little, coming, guy",,-1_clean energy_social_green_bsky social,FALSE,FALSE,TRUE,TRUE,No,No,Yes,Yes,,,,
bafyreiddk66uckxzlkezn734pigac4cqri54bvkkhdebrpll42vpfrgry4,"Some Memes, most real guesses. 

My 2025 bingo card. 

My 2025 Bingo Card
Some wild, some not.
Formula 1, Canada, Trump, Ukraine, Climate Change, Pandemics and Path of Exile 2",Deadly Heat Crisis,Climate unease,15,"climate, change, reality, yeah, oh",,-1_clean energy_social_green_bsky social,FALSE,FALSE,FALSE,FALSE,No,No,No,No,,,,
bafyreiail6iz2earkttuim3xfjbbd6sz36hkmygimbjirj77e6r7usi35y,"Or, actually deal with things like climate change and wealth inequality so that people can have any hope for the future of the planet, or the future of their children.

I doubt there are many who are eager to raise kids to indentured servitude.",Climate legal accountability,Water pollution crisis,47,"thing, something, change, climate, actually","children, kids, child, youth, birth, school, youths, young, young people, emotion",20_children_kids_child_youth,FALSE,FALSE,FALSE,TRUE,Yes,Yes,No,No,,,,
bafyreia75rrdrr743lmuzlyxghshsw5zqsmocy275oyvc5gbdumqfrtphq,Is this the same  @richardbranson.bsky.social who's adding to climate change by running tourist rocket trips to the outer atmosphere?,Fossil fuel deception,Responsible tourism future,87,"problem, kind, thanks, climate, link",,-1_clean energy_social_green_bsky social,FALSE,FALSE,TRUE,FALSE,Yes,No,Yes,No,,,,
bafyreici5zaxwgkfkrshgmtn4o2vc7s4nifvflmdrbrpxsznpko7b3x3tq,"www.ncronline.org/earthbeat/vi...
As we stand at this crossroads, Francis' papacy reminds us that we have a choice. We can continue down the path of extraction, pollution and destruction, or we can choose regeneration, harmony and care...",Climate legal accountability,Climate action collaboration,26,"earth, used, international, leading, produce","pope, francis, pope francis, leo, cardinal, vatican, church, advocated, catholic, immigration climate",88_pope_francis_pope francis_leo,FALSE,TRUE,TRUE,TRUE,No,Yes,No,No,,,,
bafyreid6yiwyyjck2jxkibvnodiedwdhwpvqpqgkjnhrmg2baeteqn2zfa,"Exxon (XOM) Discovers Natural Gas in Mediterranean Sea Off Egypt

https://www.byteseu.com/653126/

Exxon Mobil Corp. discovered natural gas off the coast of Egypt after successfully drilling an exploration well in the Mediterranean Sea. Exxon completed the Nefertari-1 well in the North Marakia …",Fossil fuel deception,Resource expansion drilling,28,"law, sea, north, citizen, expansion","drilling, oil drilling, drill, oil, drilling oil, drilling mining, baby drill, drill baby, gas drilling, alaska",6_drilling_oil drilling_drill_oil,FALSE,FALSE,TRUE,FALSE,No,Yes,Yes,No,,,,
bafyreibyy5d4y6qcp6wzcsxb7osq635jw6f7vfbigq5txr5bhb26ktnrue,"{𝗮𝙅𝙎𝘿} 𝙸𝙲𝚈𝙼𝙸︱85+ scientists blast DoE’s climate report as error-ridden, accusing RFK Jr.’s Trump-aligned agency of cherry-picking data to downplay threats. Critics warn it’s cover for scrapping the endangerment finding, with EPA chief Zeldin vowing to drive a ❝dagger❞ into climate rules.",Science under attack,Science under attack,37,"may, finding, methane, whatever, release",,-1_clean energy_social_green_bsky social,FALSE,FALSE,TRUE,TRUE,No,No,Yes,Yes,,,,
bafyreif4sjsym4bljuzuzse3mwl3tucjaqurntidsawpaj4itf3qj2atp4,Can somebody find a way of doing this for him but for climate change mitigation and/or basic human decency?,Science under attack,Climate action collaboration,53,"come, climate, change, pretty, politician","doesn believe, believes, donald, trump, change hoax, donald trump, doesn, thinks, believes climate, hoax",2_doesn believe_believes_donald_trump,FALSE,FALSE,FALSE,FALSE,Yes,No,Yes,No,,,,
bafyreidmlgxv4zj7gwrsbafbyqhkenugx7nwwc3443nbuqm3la7yiltham,"The Inflation Reduction Act signed by President Biden is helping us combat climate change while fueling the transition to clean energy — all while saving families an average of $800 annually on their home energy bills!
... and not a single Republican voted for it! 😤",EV transition barriers,Renewable energy surge,99,"energy, clean, renewable, green, bill","tax credits, energy tax, big beautiful, credits, inflation reduction, reduction act, senate, ira, tax, districts",28_tax credits_energy tax_big beautiful_credits,TRUE,TRUE,TRUE,FALSE,Yes,Yes,Yes,No,,,,
bafyreihe4tzcn26zekdqu4zdkbvwj7r6r5iw6wpc6qzgpcchqlrhsbtkmi,That's the point!  You've handed anyone who wants to undercut science the tools right here!  Why exactly would anyone trust scientists about vaccines and climate change when they so willingly advertise that they are willing to lie and obfuscate  in service of an agenda? (I believe climate science),Science under attack,Science under attack,47,"thing, something, change, climate, actually",,-1_clean energy_social_green_bsky social,FALSE,FALSE,TRUE,TRUE,No,No,Yes,Yes,,,,
bafyreicprqqaggmhjk26pr6wey5q6s6ptmwmty2ggbwrvx7yt5wymuia7e,"German-Canadian Raw Materials Alliance Strengthens Supply Security - Enertrag and Rock Tech Rely on Green Power
->Renewable Energy Industry | #Tech | More info from EcoSearch",Renewable Energy Momentum,Renewable Energy Momentum,99,"energy, clean, renewable, green, bill",,-1_clean energy_social_green_bsky social,FALSE,FALSE,TRUE,TRUE,Yes,No,Yes,Yes,,,,
bafyreiae7yjyhli2yhzlhn3h3vnoup24euatipd2zwm6w7tvjwcqejnoby,"Sure, we're abandoning decarbonization, clean-energy manufacturing, cancer research, and training new doctors and scientists — but the U.S. had to make that tradeoff to invest in ethnic cleansing, which is obviously the industry of the future.",Wealth vs. Welfare,Climate rollbacks,75,"community, local, place, face, rule",,-1_clean energy_social_green_bsky social,FALSE,FALSE,TRUE,FALSE,No,No,Yes,No,,,,
bafyreifelpah6t7x5f7jolcoz7kq7hcauyzylwvg3jmtolf6dhy7jsd5we,"50 Fake Climate Change Predictions For Power and Control
21. 2008: Arctic will Be Ice Free by 2018
22. 2008: Climate Genius Al Gore Predicts Ice-Free Arctic by 2013
25. 2009: Climate Genius Al Gore Moves 2013 Prediction of Ice-Free Arctic to 2014
www.aei.org/carpe-diem/5...",Science under attack,Science under attack,53,"come, climate, change, pretty, politician",,-1_clean energy_social_green_bsky social,FALSE,FALSE,TRUE,TRUE,Yes,No,Yes,No,,,,
bafyreiamzkm6w6wbduhsdkjklpk53qgoew2wdc7cmqkfdjwf3v52drnpm4,Introducing my first weekly round up of climate change and environmental news on my brand new substack - check it out here 🌱🍄 open.substack.com/pub/theniche... #sciencenews #sciencewriter #science,Climate justice action,Independent investigative journalism,46,"good, uk, news, bad, climate",,-1_clean energy_social_green_bsky social,FALSE,FALSE,FALSE,FALSE,No,No,No,No,,,,
bafyreiersv74qjv4zmyuog43zm7u4qpucxxm3n7i2r3bmkaj6gahp7zifm,"Abolish ICE. Defund the Police. Medicare for All. Green New Deal. These ideas are rational, not radical. 

The way this country hates “the radical left” leads it right back into crimes against humanity.",EV transition barriers,Climate justice action,89,"green, deal, new, matter, vote",,-1_clean energy_social_green_bsky social,TRUE,FALSE,FALSE,FALSE,Yes,No,No,No,,,,
bafyreiehfv7nzyfaggjxxsbnep7jjyja7tuokie7vcawf4muq6bk5x2aq4,"FALNet for real-time air pollution prediction, environmental risk assessment, and decision-making support. [5/5 of https://arxiv.org/abs/2503.24043v1]",Water resilience,Water resilience,81,"pollution, air, city, show, focus","air pollution, air, pollution, exposure, air quality, quality, pm2, airpollution, asthma, mask",1_air pollution_air_pollution_exposure,FALSE,TRUE,FALSE,FALSE,No,Yes,No,No,,,,
bafyreih3kodo2c77nolyimlwnqzbg44b3ulfyyjt2nvh4dmo2csac2di4a,The US NAS is conducting a fasttrack study on anthropogenic greenhouse gas emissions.  Submission of papers for consideration is welcome.  survey.alchemer.com/s3/8416653/R...,Climate action collaboration,Science under attack,90,"emission, state, gas, greenhouse, administration","co2, methane, methane emissions, atmosphere, greenhouse, greenhouse gas, ppm, landfills, potent greenhouse, potent",40_co2_methane_methane emissions_atmosphere,TRUE,TRUE,FALSE,TRUE,Yes,Yes,No,Yes,,,,
bafyreiby2q7nhrrnjngz2slx5b3kv67zmoyyj3s5vqg23rqfjrpx6pbobi,"🌾 Impact #4: Digital Technologies Driving Sustainable Agriculture 🌍

Watch the video and get a glimpse into how we’re driving sustainability & competitiveness in agriculture 🎥

#HorizonEurope #AgRibot #Sustainability #SmartFarming #Innovation",Water resilience,Independent investigative journalism,79,"ai, sustainable, sector, create, security",,-1_clean energy_social_green_bsky social,FALSE,FALSE,FALSE,FALSE,Yes,No,No,No,,,,
bafyreihh6ggq2gj7znsjchs24i5dwjjkknguhxhar573boqlrtsg7ua5o4,"This will further accelerate global climate change, destroy wildlife and steal every American’s rights to share in our beautiful national lands.",Corporate Climate Accountability,Deforestation & Wildlife Crisis,97,"american, land, another, national, federal",,-1_clean energy_social_green_bsky social,FALSE,FALSE,TRUE,FALSE,Yes,No,Yes,No,,,,
bafyreifynzaeofnfmmkpqhe6eujppqrycoey77e4jy5yik3kweo4yzhyxa,"Our country and our world cannot survive four years of this madness. 

It’s not sustainable!

It’s just not!",Fascism’s fatal flaws,MAGA Climate Deception,41,"year, day, every, time, last","sustainable sustainable, isn sustainable, implode, sustainable current, sustainable people, sustainable just, sustainable, mean sustainable, defines, don sustainable",27_sustainable sustainable_isn sustainable_implode_sustainable current,FALSE,FALSE,TRUE,FALSE,Yes,Yes,No,No,,,,
