cid,text,llm_theme_summ,llm_theme_theme,lda_topic_id,lda_topic_keywords,topic_keywords,topic_name
bafyreien27vispjlb3bd5hdtw5255fokte2xw2epuozlte6hiygvzp4wsy,It's a smart move to investigate this: more stable output & less environment exposure than wind / solar; less costly / risky than nuclear; sustains existing drilling industry. âï¸,Water resilience,Anti-Drilling,62,"environment, less, ev, eye, positive",,-1_clean energy_social_green_bsky social
bafyreig5xvnyzhvl3fodzxbes3fdmpgu75tiepswfq3ycsizszd6ucxrmu,"Matee was still in her 20s when she made these bricks.

Iâm a huge fan of anyone who solves two problems with the same solution, and Matee absolutely did so: making sustainable, durable materials and solving plastic waste issues.

Anyway, go look up Nzambi Matee and her company, Gjenge Makers.",Climate action collaboration,Anti-Deforestation,1,"go, hope, thousand, dry, type",,-1_clean energy_social_green_bsky social
bafyreieugnx2v2ch6gcs65hbbvrclhr2l5c5ni6rko24vdteblw3urfnta,"I grow so weary of this type of coverage. Fuels always matter, and when homes are part of that wildland fuel complex, home hardening matters. It is frustrating to read good scientists quoted as basically saying there is nothing we can do about climate change and wildfires. It's simply not true.",Climate-fueled wildfires,Climate Wildfires,89,"green, deal, new, matter, vote","fires, wildfires, california, wildfire, la, la fires, angeles, los angeles, los, winds",5_fires_wildfires_california_wildfire
bafyreigl5wwwvpimbawxgn6xw27lvpodl5le63dwgbwlfxnkpaoibxjj3i,"Donât get me wrong, Iâm not against dams! The Site C development is necessary to support sustainable growth in BC.
Iâd like to see a lot more wind, and solar, being developed though.",Water resilience,Clean energy,19,"insurance, guess, site, company, sell","canada, carney, canadian, alberta, canadians, smith, poilievre, cdnpoli, mark carney, ottawa",8_canada_carney_canadian_alberta
bafyreig3pght2jo63bwk7ybwyf7lgxzjdv4kbbmeiq6iaj7ltnj6xynddu,"Weather Alert for Phoenix, AZ (2025-07-06 12:56:15 EST):
Weather Alert
AQAPSR

The Arizona Department of Environmental Quality (ADEQ) has issued an
Ozone High Pollution Advisory for the Phoenix Metro Area on Monday.

This means that forecast weather conditions combined w...",Deadly Heat Crisis,Water pollution,14,"weather, home, housing, control, early",,-1_clean energy_social_green_bsky social
bafyreiehbcifikf3y6u2xguz4tchh5vm5uiwax35irzpgechnvxgejaiam,"""The ethane pumped up next to Stonemark's garden goes to Shell [plastic factory] transported to the plant above Pittsburgh by pipeline. Shell had to pay $670,000 in fines for environmental violations around the pipeline.""

Fracked shale gas poising Pennsylvania 2x 
1. Fracking 
2. Plastic factory!",Fossil fuel deception,Water pollution,28,"law, sea, north, citizen, expansion","fracking, earthquakes, fracking waste, wastewater, pennsylvania, hydraulic, shale, earthquake, ohio, tap water",11_fracking_earthquakes_fracking waste_wastewater
bafyreia3wysklj5qeryywp76yggl2cz3ecuerjfi5fud3dqth5vxy5l3km,Black Sea Cable to Boost EU Energy Security with Clean Power - IEEE Spectrum,Green Energy Sovereignty,Clean energy,99,"energy, clean, renewable, green, bill","eu, energy wire, spain, europe, gen, load, renewable power, eurostat, energy action, wire",77_eu_energy wire_spain_europe
bafyreihqsjrkvars2znufojjgfar2ahil3sq63ln7my6ovnkjg33mcfymu,"World's largest deforestation project fells forests for bioethanol fuel, sugar and rice in Indonesia | AP News April 7, 2025

apnews.com/article/bioe...",Deforestation & Wildlife Crisis,Anti-Deforestation,5,"fuel, fossil, industry, stop, company","deforestation, trees, forest, palm oil, forests, palm, boycottpalmoil, rainforest, boycottpalmoil boycott4wildlife, boycott4wildlife",4_deforestation_trees_forest_palm oil
bafyreihyguhvvtjbpcekvcwv6gdr3h42x5leb5badaxfygnjtynwsro53q,Yes but in order to avoid corrosion in the heat exchange system they use (lots of) potable water that could otherwise be used for human consumption. And clean drinking water is hard to come by in many parts of the world. Climate change is projected to make water scarcity worse.,Water resilience,Water pollution,42,"water, use, resource, ecosystem, corporate",,-1_clean energy_social_green_bsky social
bafyreih4vflezfaltrl56rm3smd4wzq44pllp2baiepjdyqjqz6zfxscdq,"Love a good clothes swop, they should be much more common. patrickgrantism@bsky.social leads the way on sustainable fashion. He is involved with so many excellent things.",Sustainable luxury fashion,Sustainable Fashion,47,"thing, something, change, climate, actually","fashion, sustainable fashion, cutt ly, cutt, eco friendly, eco, clothing, sustainablefashion, friendly, shop",29_fashion_sustainable fashion_cutt ly_cutt
bafyreigpn2oxqfawgkrsiqufmr7pom5cg34gfme22nwm4s45uqx4q5a2bi,"solar panel maintenance

Regular solar panel maintenance ensures maximum efficiency and long-term performance. From comparing solar panel quotes to exploring free solar panels, homeowners can make smarter energy decisions.

theapsense.com/why-its-impo...",Plastic treaty failure,Clean energy,43,"solar, energy, wind, power, panel","solar, panels, solar energy, solar panels, battery, storage, grid, batteries, solar power, solar panel",0_solar_panels_solar energy_solar panels
bafyreidb42m3rtni4wohblmggl7rdqwx4maahdfwo7ab3z2zx5whouwc3i,"Deforestation slashed by 55 per cent in Afro-descendant lands: Study
->Down To Earth | #Deforestation #Land | More info from EcoSearch",Deforestation & Wildlife Crisis,Anti-Deforestation,24,"climatechange, info, ecosearch, climate, change","deforestation, trees, forest, palm oil, forests, palm, boycottpalmoil, rainforest, boycottpalmoil boycott4wildlife, boycott4wildlife",4_deforestation_trees_forest_palm oil
bafyreidsx6tdbop3qvkrczqpk56aees2odrgx74igtmdesz2hfqhbo4lfu,"Newly passed CA housing reforms (streamline development & use wildfire-ravaged lots for low-income housing) are marketed as improving affordability. But they highlight deep systemic failure: climate change is impacting land, weather, & housing.

@reuters.com
bit.ly/4fwVHYq",Climate injustice exposed,Climate Wildfires,14,"weather, home, housing, control, early","housing, housing crisis, housing market, relocation, affordable housing, sufficient, https archive, 10 29, housing shortage, housing act",81_housing_housing crisis_housing market_relocation
bafyreicxo5k7mwjt4r4xufya6ev2i4dsfvfwtailronzgopcpk7qwp7xsi,"glaciers receding and collapsing, villages destroyed, less and less snow. and still we're not doing enough for climate change. www.france24.com/en/live-news...",Deadly Heat Crisis,Water pollution,40,"climate, yes, change, deforestation, nature","glacier, glaciers, switzerland, melting, melting glaciers, www france24, france24 com, france24, ice age, receding",87_glacier_glaciers_switzerland_melting
bafyreihpnuq4xrxoccfyrjs3fikktuk52ebbwivrn33ht35cgnuuspzwdu,"You can't stop the sun from shining, Mr Trump.

""The U.S. power grid added more capacity from solar energy in 2024 than from any other source in a single year in more than two decades,""",Renewable Energy Momentum,Clean energy,43,"solar, energy, wind, power, panel","solar, panels, solar energy, solar panels, battery, storage, grid, batteries, solar power, solar panel",0_solar_panels_solar energy_solar panels
bafyreigx5c2aqjjtkowpm5jh2w7appkyi3rwvefd3thbxlzk65eswjbpg4,"Interesting discussion. It illustrates the need to talk about climate change (it was hardly mentioned) & to be clear that while renewables aid energy security & protect against price shocks, they won't immediately reduce bills. It also showed Richard Tice to be a deeply unserious populist (shock!).",Clean Energy Push,Clean energy,72,"level, interest, act, record, temperature",,-1_clean energy_social_green_bsky social
bafyreifh4bseqhdatkafowu7khibex2gyzhehcrttlbw72qt7omlct6ssa,"New to Bluesky, happy to engage on EU policy and topics related to #vegetableoils #agriculture, #sustainability, #climate, #foodindustry. 
Today my main focus is #EUDR - Deforestation Regulation ahead of the Trilogue negotiations coming up tomorrow !",Water resilience,Anti-Deforestation,46,"good, uk, news, bad, climate","deforestation, trees, forest, palm oil, forests, palm, boycottpalmoil, rainforest, boycottpalmoil boycott4wildlife, boycott4wildlife",4_deforestation_trees_forest_palm oil
bafyreifkwih6qiyr7mypg4xpkzaaqipf55mk6oqko3oioaj3hzy3s442be,". . . â waste that is harder and more expensive to manage and dispose of. â

â±ï¸ âEvery dollar spent on SMRs is a dollar not spent on proven, less expensive, rapidly deployable renewable energy sources. 

3/5",Fossil fuel deception,Clean energy,2,"science, protect, rich, republican, order",,-1_clean energy_social_green_bsky social
bafyreibpnkrtkxgamyngrlbsy4ha5ksnwss3j3tht6jhuoo6xqvort3kpi,"Epigenetics Update - Developmental air pollution exposure augments airway hyperreactivity, alters transcriptome, and DNA methylation in female adult progeny go.nature.com/3Du2rrq

#Epigenetics #Asthma #DNAmethylation
---

Discover the breakthrough at epigenome.us",Science under attack,Water pollution,77,"end, worse, everything, become, please","air pollution, air, pollution, exposure, air quality, quality, pm2, airpollution, asthma, mask",1_air pollution_air_pollution_exposure
bafyreie5nmdxcp633rjjgij7lleazlrdpy3d7mf52hxb5ztybqdgd2wc5e,"""Breaking: #Bitcoin Miners Flock to #RenewableEnergy as Environmental Scrutiny Mounts. Amid rising concerns over energy consumption, top mining outfits are shifting to green power sources, potentially altering the cry... how i cash out $1k of crypto to my bank account: tinyurl.com/crypto-to-bank",Renewable Energy Momentum,Clean energy,32,"nothing, seems, move, based, folk","bitcoin, crypto, bitcoin mining, blockchain, efwt, web3, value, stranded, cryptocurrency, tl dr",108_bitcoin_crypto_bitcoin mining_blockchain
bafyreicmlqcsiqtqc3hziyq5t34gx6tyfclel3rtbewjs5jlcf7grloqj4,"4.5/5 â­

Toxic tackles the environmental and social impacts of the oil industry on the Amazon in an accessible, easy to digest way without sacrificing the reality of what is happening. 

Its a must read if you want to learn more the effects of oil drilling on small communities and the planet.

ðð",Oil's Deceptive Greed,Anti-Big Oil,85,"must, china, together, buy, concern",,-1_clean energy_social_green_bsky social
bafyreibyeq4tta5va3e7twygm2rjpyur5mmoq337v7n5qw3jgsy27hweoq,Guy who authorized more drilling than his predecessor pretends he cares about the planet and clean energy.,Fossil fuel deception,Anti-Big Oil,99,"energy, clean, renewable, green, bill","drilling, oil drilling, drill, oil, drilling oil, drilling mining, baby drill, drill baby, gas drilling, alaska",6_drilling_oil drilling_drill_oil
bafyreihuqggjhazxjz4eic3ltvlboiarfnvl5dmm2tz44ntzk36bv6ucmy,"link ðð¤
Optimal Investment and Fair Sharing Rules of the Incentives for Renewable Energy Communities (Awerkin, Falbo, Vargiolu) The focus on Renewable Energy Communities (REC) is fastly growing after the European Union (EU) has introduced a dedicated regulation in 2018. The idea of creating local",Renewable Energy Momentum,Clean energy,99,"energy, clean, renewable, green, bill","enkiai, clean energy, cleanenergy, energy stocks, clean, renewableenergy info, enkiai com, contact enkiai, cleanenergy info, enkiai insights",25_enkiai_clean energy_cleanenergy_energy stocks
bafyreihcohkxjvxk6flfubprt27nhxqo4z5nvzi2ygmui25yu6366poahi,Let's get PJM moving on those 1000+ clean energy projects!  Sign the petition to lower energy costs @njlcv #CleanEnergy #PJM  app.sosha.ai/s/MpT9s103,Clean Energy Push,Clean energy,16,"build, plant, program, sign, push","enkiai, clean energy, cleanenergy, energy stocks, clean, renewableenergy info, enkiai com, contact enkiai, cleanenergy info, enkiai insights",25_enkiai_clean energy_cleanenergy_energy stocks
bafyreidy7rln6zq2vfkvwuhsaekmbtfno5bsztepwsqnqnmo7khmfshiv4,"Coming home to roost: residents rise up against UK #chicken #megafarms - www.thebureauinvestigates.com/stories/2025... ""Booming poultry industry faces a reckoning as government pressed to finance more sustainable methods"" long overdue",Climate rollbacks,Water pollution,75,"community, local, place, face, rule","sustainable food, food, farming, gardening, regenerative, sustainable farming, farms, organic, food systems, food sustainable",38_sustainable food_food_farming_gardening
bafyreiff546jijk62lchgifxkmvzyob624ev26t34qse3iawecabr4bopm,Climate change (overpopulation) altering jet stream.  Wildfires in New Jersey And New York in March.         Does anyone care?,Climate-fueled wildfires,Climate Wildfires,92,"damage, leave, late, new, trust","fires, wildfires, california, wildfire, la, la fires, angeles, los angeles, los, winds",5_fires_wildfires_california_wildfire
bafyreif7ndcgihtue47nzgv3yzlxeebawqx7yabe65vdfodrfts2nfeviq,"Great question @aryn13.bsky.social ! 

The number one threat to marine biodiversity is... unsustainable overfishing practices.

Therefore the number one thing people can do to help is not to eat unsustainable seafood.

Note that I did not say ""give up all seafood."" Sustainable seafood exists.",Marine climate crisis,Ocean conservation,93,"give, kill, try, reform, mind","aquaculture, fish, seafood, salmon, fisheries, fishing, sustainable seafood, overfishing, seg, marine",57_aquaculture_fish_seafood_salmon
bafyreifycixjam7eq6aw4vslk3f7dswx63busowwxzrxtsbwwkmrixa32u,"The top 10 states with the highest annual mortality rates from climate change-related wildfire-PM2.5 mortality were: Oregon, Montana, Idaho, Washington, California, Nevada, Wyoming, Colorado, Louisiana, & Arkansas. 

Read the full study: www.nature.com/articles/s43....",Climate-fueled wildfires,Climate Wildfires,10,"help, http, big, u, climate","fires, wildfires, california, wildfire, la, la fires, angeles, los angeles, los, winds",5_fires_wildfires_california_wildfire
bafyreiepuft2uzrczqaumav32r425mfbng2oeggfua5pwax5crrhue4pwy,UPDATE: She just nibbled through an Outlook folder - transformed it into WILDFLOWER SEED PAPER!!! ðâ¡ï¸ð¸ Sustainable shredding saves the day again!!! ð,Independent investigative journalism,Anti-Deforestation,69,"save, un, wave, passed, union",,-1_clean energy_social_green_bsky social
bafyreicoatv6ona2wdtnplkbpxzooxpbcjc56kbrjkbvlidz5b37hic6de,"My friend, a forest management and ecology researcher, warned about the risks of major California wildfires 20 years ago, attributing them to poor forest management practices. We shouldn't place all the blame solely on global warming.",Climate-fueled wildfires,Climate Wildfires,12,"plastic, storage, major, pollution, benefit","fires, wildfires, california, wildfire, la, la fires, angeles, los angeles, los, winds",5_fires_wildfires_california_wildfire
bafyreihikdtwxyuyaoc3ug6tvcjqcymnf2lo24lugelwzvvxwaxdpehpmm,Developments proposed around there rarely threaten trees - these are areas that arenât contributing to deforestation when they add new housing. Westchester County is perpetually in violation of laws and lawsuits.,Trees for Climate,Anti-Deforestation,18,"pay, market, threat, term, fund","deforestation, trees, forest, palm oil, forests, palm, boycottpalmoil, rainforest, boycottpalmoil boycott4wildlife, boycott4wildlife",4_deforestation_trees_forest_palm oil
bafyreih5fhqycbrqaefxio3aokmh2emzmxaxrwxcjcnrhey4bspc5ydvem,"True. He and all those billionaireba$$tards are just itching to profit in taking over the land, drilling etc",Capitalism's climate doom,Anti-Big Oil,36,"oil, drilling, gas, price, trump","drilling, oil drilling, drill, oil, drilling oil, drilling mining, baby drill, drill baby, gas drilling, alaska",6_drilling_oil drilling_drill_oil
bafyreid7vcswofv7tpmyyotkfrn44kur3o5lvy52iadpisbagyxyvstzye,West Virginia teens allege EQT pollution caused serious medical issues share.google/GXOtRWBAajy1...,Corporate Climate Accountability,Water pollution,43,"solar, energy, wind, power, panel","air pollution, air, pollution, exposure, air quality, quality, pm2, airpollution, asthma, mask",1_air pollution_air_pollution_exposure
bafyreids5w6z44qocpz6qhrsm3hzuqg3bp7kljvkw3tciomuawca4pi5ea,"Big announcement from the government confirming Â£300m of funding for offshore wind supply chains. Contrary to various noises off, still no sign of Starmer wobbling on clean energy agenda. www.businessgreen.com/news/4412653...",Clean Energy Push,Clean energy,99,"energy, clean, renewable, green, bill",,-1_clean energy_social_green_bsky social
bafyreidze6cl54mjwvgg2b362i6ske2zv2b4qqtrzt5ez6cdxh6mkvrlqa,"ð Wildfires: How under threat are cities?

#Climate Change   #Urban   #Wildfires   

https://www.dw.com/en/wildfires-how-under-threat-are-cities/a-69957594?maca=en-rss-en-all-1573-rdf",Climate-fueled wildfires,Climate Wildfires,4,"climate, change, event, heat, extreme","fires, wildfires, california, wildfire, la, la fires, angeles, los angeles, los, winds",5_fires_wildfires_california_wildfire
bafyreidbry7vsaww4l5eflk3adjbymhhkipclsirtkfqmiuyijgcufkdfu,"Rick Wilkinson = CEO energy advisory firm, where Rick has more than 36 years experience in the Oil and Gas industry. None in renewables. 
Biased much, ABC?
""iron ore magnate and climate evangelist Andrew Forrest is building a $1 billion terminal to import liquefied natural gas, or LNG."" Oh?
ð§µ2/? â¬ï¸",Fossil fuel deception,Anti-Big Oil,92,"damage, leave, late, new, trust","wright, ceo, fracking, fracking ceo, chris wright, chris, ceo energy, wright fracking, liberty energy, need oil",104_wright_ceo_fracking_fracking ceo
bafyreieefuwvpqfow5ppc3b65laqsz5j3v2nujljrimzbsisn3ywqdp5ui,Thanks a lot! First time scribing and drilling.,Sound's dual impact,Anti-Drilling,41,"year, day, every, time, last","drilling, holes, drilling holes, drilling hole, hole, wall, dentist, drill, hammering, like drilling",9_drilling_holes_drilling holes_drilling hole
bafyreifsyd5kpn3a5ukoc34hsehz2vhfyunffnxqp7xcgr6aip2fnrtgqe,"Been a long time since I just â¢stopped and wroteâ¢ but I think I just did 1500 words on this on my phone.

I have FEELINGS. 

We are so fucking ignorant about Indigenous  foods, and in a climate emergency, that needs to change.",Climate justice action,Anti-Deforestation,32,"nothing, seems, move, based, folk","indigenous, archaeological, cultural heritage, native, heritage, alaskabeacon com, alaskabeacon, ceremonies, culture climate, indigenous peoples",73_indigenous_archaeological_cultural heritage_native
bafyreih2zcrydewwnrgqefppqdfijbf7snij4hb443fhcswfexdu7ehryy,"Excellent! The CA Legislature has unanimously approved my SB 454, which will address PFAS pollution in CA's water supply. SB 454 would establish the PFAS Mitigation Fund, which local agencies and cities could access to help pay for the cleanup of toxic PFAS in water.",Climate action collaboration,Water pollution,71,"coal, mining, america, innovation, able","river, sewage, water pollution, fluoride, water, swimming, pfas, river pollution, nationalise, rivers",46_river_sewage_water pollution_fluoride
bafyreic7u5zyqyz47y5e6ipi7thfchpyi6o55nwdyiluirr4d2htjebv4e,And don't miss my May #Geochallenge video! Would you consider this sustainable #geocaching? youtu.be/h-SUCrV_tyY,Responsible tourism future,Anti-Deforestation,49,"many, money, cause, people, climate",,-1_clean energy_social_green_bsky social
bafyreicd2l37l2motfdfluco2275n2ercqyfd3hwml2kmja3ioq7z6mk5i,The worst pollution...,Water pollution crisis,Water pollution,81,"pollution, air, city, show, focus","air pollution, air, pollution, exposure, air quality, quality, pm2, airpollution, asthma, mask",1_air pollution_air_pollution_exposure
bafyreibugkhrmzfcgy6z763bgylox3nkff23vbwyimcjjmj3fajmnycxme,"ð¥ **IESR Indonesia** posted: Ollie Wilson, Head of RE100 on Exploring RE100âs Role in Indonesiaâs Renewable Energy Transition
ðº Watch here:
https://www.youtube.com/watch?v=CY3TMf2Nwmk",Renewable Energy Momentum,Clean energy,79,"ai, sustainable, sector, create, security",,-1_clean energy_social_green_bsky social
bafyreifq72krdc2dab56ehamedxlnvqjkadjb775wtxh4f4blfnmf54sge,"From Aurora, you could see the layer of pollution hovering over the city.",Starry night preservation,Water pollution,81,"pollution, air, city, show, focus","light pollution, light, stars, night, sky, moon, lights, astronomy, lightpollution, telescope",43_light pollution_light_stars_night
bafyreicfjyl5nt72zbcwtvp5ewletednbtfovzumg3nmshmlwxvb6kanwy,"The grand opening of @andre.lounge where every sip tells a story and every draw takes you on a journey.
Your go-to place for superior cigar, whiskey and wine.
@christinahteit 

Domaine Wardy - Bottled Harmony 

#wine #sustainable #vegan #awardwinning #lebanesewine #sinelfil #lebanon #familybusiness",Responsible tourism future,Sustainable Fashion,26,"earth, used, international, leading, produce",,-1_clean energy_social_green_bsky social
bafyreidm6wa7wvd44jg3smaxijb2e4svokv5di2ifa6nn5ou6nqrzophdu,"We had a huge fire, the Lilac Fire in December of 2017 in San Diego County. They are going to become more frequent because climate change is getting worse.",Climate-fueled wildfires,Climate Wildfires,77,"end, worse, everything, become, please","fires, wildfires, california, wildfire, la, la fires, angeles, los angeles, los, winds",5_fires_wildfires_california_wildfire
bafyreicf5n7lhc3zzsdyps4xklh5xzg4vga7jes6bru32y5rgqoivdpfua,#chisel #interesting #woodworking #drilling #drill,Sound's dual impact,Anti-Drilling,36,"oil, drilling, gas, price, trump","drilling, holes, drilling holes, drilling hole, hole, wall, dentist, drill, hammering, like drilling",9_drilling_holes_drilling holes_drilling hole
bafyreihjxdexk45tezuplpdpwkldlfgm5cdjy3547prrjxvmu3un2jppaa,"Even the chair of the Climate Change Committee is clear that we should not use CCS for power generation.

ttps://bsky.app/profile/sioldridge.bsky.social/post/3lhqdxazofc2j 

(cont)",Climate unease,Anti-Big Oil,53,"come, climate, change, pretty, politician","carbon capture, capture, carbon, ccs, sioldridge, sioldridge bsky, capture storage, removal, emission, pushed fossil",80_carbon capture_capture_carbon_ccs
bafyreifkg3abj3hdtcqn4bivxid6p2c36fykoz7zh66omvpk5jtaagszei,"This article is open to all! Not just for members! Letâs celebrate the #women in #Renewable #Energy!

Read âThe Women in Renewable Energyâ by Albin Sebastian on Medium: medium.com/@albin_sebas...",Climate action collaboration,Clean energy,99,"energy, clean, renewable, green, bill",,-1_clean energy_social_green_bsky social
bafyreiftrihopfdorssbcpqkuz6velai4d4m5yv5wspj6gb6e5d6b6b2by,Surely it is those profiting from the production and use of such forever chemicals that should find sustainable solutions.,Climate legal accountability,Water pollution,63,"solution, better, carbon, reduce, technology",,-1_clean energy_social_green_bsky social
bafyreih4bvcicrgka3wcxbal7h2mswk5oh45imam337bvxrgy4yk76xcxe,"Allow me to reintroduce myself on Bluesky :) I would like to migrate my business from Meta and hope to fully transfer to something new! 

I am an artist and entrepenuer who creates products from repurposed, recycled, and sustainable materialsâ»ï¸",Cleaning fatigue,Anti-Deforestation,52,"denial, latest, drive, bring, paper",,-1_clean energy_social_green_bsky social
bafyreiaqdkrwelxs4sbzyceosgf6plkpzu5sdovuq7damwgr6banxksu4a,"Both my parents received shockingly bad health care in rural PA that contributed directly to their suffering and deaths. Old coal mining area. Around there, you get what you get.",Climate Denial Backlash,Water pollution,20,"health, care, anything, social, increase","coal mining, coal, mining, miners, slopes, eastern slopes, mining coal, mines, eastern, alberta",12_coal mining_coal_mining_miners
bafyreigcyycei5x4moi7mdz424yctx245a4lhcr6otb54utsnpr57knhl4,Climate change made deadly Hurricane Helene more intense: Study - https://www.channelnewsasia.com/sustainability/climate-change-made-deadly-hurricane-helene-more-intense-study-4667526,Climate injustice exposed,Climate Wildfires,64,"climate, change, risk, study, fact",,-1_clean energy_social_green_bsky social
bafyreib6lumewb427czoxns4yvjdl6bhqpmr64kqbttx7cwmtrty43o5vu,"Definitely a better energy source for you, Australia being sunny and hot long summers makes solar a good option. Batteries help, I cancelled a Tesla power wall last year, his brand is poison here as well.  China is the biggest danger for us, we are resource rich.",Renewable energy surge,Clean energy,43,"solar, energy, wind, power, panel","australia, auspol, australian, au, dutton, farage, australians, com australia, australia ne, com au",7_australia_auspol_australian_au
bafyreicc3hk6r533jy7v6butwg3ngfzbycfn66nk6meyokqwxaqqfy6ufu,"The headline says dogs are part of the  climate problem because of their diet. It doesnât say swap your dog for a bunny, it says meat has a huge impact. Dogs have no choice what they eat, but we do. In terms of bootstraps, do you think the industries that created this world will decide to change?",Oil's Deceptive Greed,Anti-Deforestation,71,"coal, mining, america, innovation, able",,-1_clean energy_social_green_bsky social
