Topic,Count,Name,Representation,Representative_Docs
9,206,9_drilling_holes_drilling holes_drilling hole,"['drilling', 'holes', 'drilling holes', 'drilling hole', 'hole', 'wall', 'dentist', 'drill', 'hammering', 'like drilling']","[""Friend used to rent a house built in 1888, with a foot thick stone walls. When electricity was installed sometime in the 1940s, they didn't bother drilling new holes, and reused the ones drilled earlier when they added plumbing. Resulting in the power going out every time someone took a shower."", 'Also yesterday during the day someone was playing music and the guy next door was drilling a hole in the wall and I think it got too much for my brain cause I started thinking they’re communicating with aliens and don’t want me to hear and I got really scared. I don’t even believe in aliens LMAOO', ""Slept for 5 hours.... Because i didn't realize it's monday again... one of the apartments starts drilling every day of the week at 8am and it's gonna continue till the end of august. (I absolutely despise drilling, and my noise cancelling headphones aren't helping at all. I want to kms)""]"
10,202,10_change climate_hell climate_humanity_people die,"['change climate', 'hell climate', 'humanity', 'people die', 'sure climate', 'mention climate', 'change isn', 'extinction', 'human society', 'destiny']","['Okay, but climate scientists understated climate change threat for 100yrs to avoid looking like doomsday lunatics (it didn’t work); & now we’re to the point where climate change legit could result in an extinction event scenarios & you’re going “don’t make it worse than it seems” about winter temps…', ""10 years? ... I'd say less. Coupled with climate change, viruses such as bird flu, unvaxxed populace, conflicts/wars, refugees camps, lack of birth control, lack of various medications (HIV), projects such as providing clean drinking water to remote areas, ... and the list goes on."", 'Joshua and his team continue to fight to stop human extinction from climate change. He holds his team together, fighting attempted suicides, bombings, bunker attacks, and kidnappings. Time is short to stop the polluters before humans face extinction.']"
11,190,11_fracking_earthquakes_fracking waste_wastewater,"['fracking', 'earthquakes', 'fracking waste', 'wastewater', 'pennsylvania', 'hydraulic', 'shale', 'earthquake', 'ohio', 'tap water']","['Happy fracking Banniversary, New York! 10 years ago this week New York State made the historic decision to ban dirty & dangerous hydraulic fracturing aka “fracking” for gas. The climate movement in NY continues to fight for clean air, clean water & clean energy. Learn more at frackaction.com.', 'There must be no fracking or invasion of fracking wastes in the Delaware River Basin. Many people down stream drink this water. If fracking waste gets into the Delaware River it will be contaminated by long acting radioactive isotpes from the Marcellus Shale. See Petroleum 238 by Justin Nobel.', 'PA landfill faces worsening risks from fracking waste. Ted Auch of FT notes that newer wells are less productive, using more water & generating more waste. With record natural gas production, toxic byproducts are polluting water & harming pubic health insideclimatenews.org/news/2302202...']"
12,183,12_coal mining_coal_mining_miners,"['coal mining', 'coal', 'mining', 'miners', 'slopes', 'eastern slopes', 'mining coal', 'mines', 'eastern', 'alberta']","['We heard from ranchers, fishers, environmentalists, hikers, and landowners whose lives and livelihoods will be negatively impacted by coal mining in the Eastern Slopes. These voices are in addition to the 14,868+ emails my office has received rejecting the changes to the coal policy since Jan 20th.', 'This is why we need to end open pit coal mining on the eastern slopes of the Rockies. How can we justify an Australian coal mining company destroying our mountains and the watershed so many farmers depend on?', 'The Alberta Government now wants to allow coal mining in the Eastern Slopes of the Rocky Mountains. Coal mining. COAL MINING! IN THE ROCKY MOUNTAINS! They tried this is 2020 but backed down due to huge public outrage. They’re now trying again. Spread the word. Let them hear you.']"
13,183,13_global warming_warming_global_heatwave,"['global warming', 'warming', 'global', 'heatwave', '24hr', 'heat', 'nuclear winter', '5c', 'warming global', 'temperatures']","['* Global humidity hit record levels in 2024; 2025 may be worse * Hurricane Erin is a record breaker * Climate change supercharged deadly Nordic heatwave * UN plastic pollution treaty talks collapse, oil-producing nations blocked production limits New @GreenNewsReport LISTEN: bradblog.com?p=15478', 'Global temperatures track climate model predictions & record low global sea ice is reported. @carbonbrief.org reports: bit.ly/4gBINbn What will you do about it in this New Year of 2025? Join us in fighting fracking under Ohio public lands. @ameliarobinson.bsky.social @govmikedewine.bsky.social', 'Human-Caused Global Warming Spiked the Death Toll of Europe’s Early Summer Heatwave Researchers found that nearly two thirds of the estimated 2,300 heat deaths resulted from global heating intensified by fossil fuel emissions, insideclimatenews.org/news/0907202...']"
14,165,14_china_chinese_taiwan_like china,"['china', 'chinese', 'taiwan', 'like china', 'bessent', 'xi', 'beijing', 'treasury', 'republic', 'change china']","['Renewable Energy Investment Reaches Record High as China Operates World’s Biggest Solar Farm https://www.byteseu.com/1332929/ Global investment in renewable energy hit record levels in 2024–25, driven by solar, wind, and power grid upgrades. At the same time, China broke new ground with a vast …', 'China invests in clean energy to dominate the world while the US boosts coal. “In China, more wind turbines and solar panels were installed last year than in the rest of the world combined.” @nytimes www.nytimes.com/interactive/...', 'Last year China installed more wind turbines & solar panels ""than the rest of the world combined."" China is exporting clean energy throughout the world. They\'re looking forward. Trump looks back.Drill baby drill, export natural gas, halt development of electric cars. Which nation will prevail?']"
15,165,15_snow_degrees_winter_cold,"['snow', 'degrees', 'winter', 'cold', 'summer', 'winters', 'ski', 'october', 'sucks', 'hot']","['I love that I live in an area where global warming has not only increased the average temperatures, but also brings frequent and weird cold snaps. It is currently 18 degrees Fahrenheit (-8 Celsius) here in November! That is not normal. #MadisonWI #Weather #ClimateChange', 'I know climate change is a thing. But do any of my chronically ill critters feel worse each summer because of the sun? It’s only 60 degrees but I have a headache because I’m too hot lol every time I go outside on a sunny day, my skin feels like pins and needles 😩', ""Normally we would have a September heatwave, but it's been below 80° during the day & getting down to 30° at night. Manmade climate change in action. The seasons have definitely changed. Spring is nearly non-existent. Autumn is longer. Winter is shorter w/barely any snow. Summer has gotten hot &dry.""]"
16,159,16_fuel industry_fossil fuel_fuel_fossil,"['fuel industry', 'fossil fuel', 'fuel', 'fossil', 'industry', 'fuel interests', 'fuel companies', 'people fossil', 'new fossil', 'fuel projects']","['Sure, if you work for a fossil fuel related industry. You think these yahoos can tell the difference between model years? These vandals are painting swastikas on cars owned by Jews, making the vandalism a hate crime. Five seconds with a paint can gets you 1 year in prison in my state. Deplorable.', 'The fossil fuel industry needs to be dismantled and pay damages. Whether this is kicked off by a government or by people refusing to use all crude oil related products doesn’t matter to me. We have the power of boycott. We have the power to strike. I can’t say I have any trust in governments.', '""In February 2015, TPPF moved into a new $20-million building two blocks from the Texas Capitol."" ""In 2010, TPPF received funding from Koch Industries as well as Geo Prison Group, a GEO Group company. Donors to the organization have included...Chevron, ExxonMobil, and other fossil fuel interests.""']"
17,159,17_denial_climate denial_denialism_change denial,"['denial', 'climate denial', 'denialism', 'change denial', 'conspiracy', 'change hoax', 'explaining', 'hoax', 'deny climate', 'science']","[""It's strange hearing people complain about those who deny climate science (or science in general), when we live in a world that pretends the pandemic is over. People are still dying and being disabled by covid, and folks refuse to mask in public spaces. Science denial is the norm."", 'wild that the only ""scientists"" who say anything remotely like ""climate change is a hoax"" are all employed by oil giants or make money going on right wing talk shows or selling books and have degrees in petroleum engineering instead of climate science and can\'t say where the science is fabricated', 'The cranks and crackpots have always denied the theories of science ... now, we just call them climate deniers ... and they shout back that they are climate realists ... the poor deluded souls. #climatebrawl For more on climate denial read www.routledge.com/Climate-Deni...']"
18,154,18_harris_kamala_kamala harris_fracking,"['harris', 'kamala', 'kamala harris', 'fracking', 'green new', 'new deal', 'genocide', 'aoc', 'jill stein', 'pro']","['1 percentage point loss. Vice president Harris got 76M votes. Clearly did not antagonize her most active base. Pro-fracking? Anti-immigration?😆Regardless, if that was true, she was the BEST. Anyone who voted for Trump is complicit in the destruction of democracy, keep your bridge', 'Which is why I voted for Dr. Jill Stein, a Leader who understands Healthcare is not about Corporate Profits, Global Warming is not about Jobs, Education is not about Indentured Servitude and Genocide and War are not about increasing Corporate Donor Wealth.', 'Everyone should have voted for Kamala Harris. Protecting the environment and addressing climate change have been significant priorities for Kamala Harris throughout her career,from her time as a prosecutor up until she was Vice President. Even after leaving office, her commitment has not waned. 🔥👇🏼']"
19,149,19_transport_transit_bus_sustainable transport,"['transport', 'transit', 'bus', 'sustainable transport', 'trains', 'transportation', 'bike', 'cycling', 'public transport', 'bikes']","['We really need more and better, dedicated bike lanes in London, Ontario. This is good all around…less traffic congestion and pollution, less wear on roads and less repairs, and fewer accidents for drivers, cyclists, and pedestrians.', 'Save our cities! Since January 5, a $9 congestion toll in Manhattan was begun to raise $500m annually for public transport. Buses are moving up to 20% faster, 70,000 fewer vehicles are on the roads reducing pollution and accident injuries. Noise complaints on busy streets dropped 70%. Win, win, win!', 'I agree that those who pollute should pay. As for higher premiums, I guess those pushing for private transit over public, for more roads and widening them over bike lanes and multi-modal transport options, should pay for them as they contribute to climate change more than those on buses/bikes.']"
20,148,20_children_kids_child_youth,"['children', 'kids', 'child', 'youth', 'birth', 'school', 'youths', 'young', 'young people', 'emotion']","['Start teaching kids about the realities of mobility and climate change. Adults used to smoke a pack of cigarettes - schools started to educate little kids about smoking. I remember saying to my parents “I don’t want you to die!” They and all their peers seemed to quit in short order…', 'Or, actually deal with things like climate change and wealth inequality so that people can have any hope for the future of the planet, or the future of their children. I doubt there are many who are eager to raise kids to indentured servitude.', ""they worry about the birth rate but won't do anything to fix the issues that are driving the declining birth rate (unaffordability of literally everything climate change anxiety living under fascism poor maternal medical care high maternal mortality) because they can't limit solutions to white ppl""]"
21,144,21_plastic_plastic pollution_plastics_treaty,"['plastic', 'plastic pollution', 'plastics', 'treaty', 'microplastics', 'straws', 'plasticpollution', 'plastic waste', 'bottles', 'recycling']","[""'95 countries signed a global treaty to reduce plastic pollution in the ocean. The U.S. produces the most plastic waste on the planet, 40 million tons annually, 20 percent of which spends its eternal days in the entrails of the ocean. The U.S. did not sign the plastics treaty.'"", 'Talks stall on world’s first plastic pollution treaty one day before deadline | Plastics https://www.newsbeep.com/ca/69295/ Talks on the world’s first legally binding treaty to end plastic pollution have stalled just one day before…', 'Legislation reducing the use of single-use plastics can be highly effective, ranging from 33–96%, depending on policy and jurisdiction helping to reduce plastic waste and consequently plastic pollution in the environment. www.sciencedirect.com/science/arti...']"
22,130,22_insurance_insurance companies_premiums_insurers,"['insurance', 'insurance companies', 'premiums', 'insurers', 'home insurance', 'companies', 'uninsurable', 'insure', 'insurance industry', 'insurance premiums']","['As climate change intensifies extreme weather and claims pile up, insurance companies are raising their rates and limiting their coverage. This leaves those who can least afford insurance unprotected as climate disasters grow more frequent and severe. jacobin.com/2024/09/clim...', 'So honest question: are health insurance companies going to be content doling out big bucks for complex medical problems created by vaccine refusal? We know the property insurance companies regularly refuse to cover properties that are at increased risk due to climate change.', 'How can the government make claims that deny climate change, but yet, insurance companies can use climate change as a reason for much higher rates? The insurance commissioner should say climate change is not real, no rate hike for your insurance company. Insurance would lobby so hard for climate.']"
23,126,23_awards_sustainable development_sustainability_inclusive,"['awards', 'sustainable development', 'sustainability', 'inclusive', 'architectural', 'apply', 'deadline', 'development goals', 'ac uk', 'development']","['🚀 This program supports founders, executives, + changemakers as they build sustainable local news. Our first cohort will come to NYC for an in-person kick off on April 24 & 25! Applications for our second cohort for Fall 2025 will open in May. Stay updated ↓ www.journalism.cuny.edu/j-plus/nonpr...', 'The Sustainable Development Goals at 10: Celebration or Commiseration? Please join us for a half-day special section launch event marking the tenth anniversary of the UN’s 2030 Agenda on Friday 12th September, 14:00 – 17:00 (BST), Bishop’s Dining Suite, Durham Castle & Online. Details here:', '📚 Join us for Unlocking eBooks for Innovation and Growth webinar on 19 March 12:30-1:30pm! Learn how libraries can create a sustainable and inclusive framework for eBook access. Delivered in partnership with @knowledgerights21.org & @inflect.bsky.social Register now: www.cilip.org.uk/events/Event...']"
24,125,24_new deal_green new_deal_dems,"['new deal', 'green new', 'deal', 'dems', 'democrats', 'green', 'medicare', 'party', 'dems need', 'weird']","['Infrastructure Investment and AJobs Act, Paris Climate Agreement, Lilly Ledbetter Fair Pay Act, Marriage Equality, Renewable Energy Tax Credits. Ongoing/proposed: Medicare for All, Green New Deal $15 minimum wage, Pathway to Citizenship, Paid Family and Medical Leave, Wealth Tax, etc.', 'Green New Deal for me!', 'Progressives: the ones who fight for a livable minimum wage, single payer healthcare, free college, codifying voting rights, women’s rights, LGBTQ+ rights, getting rid of the electoral college, affordable housing, renewable energy, billionaires & corporations paying their fair share of taxes, etc.!']"
25,119,25_enkiai_clean energy_cleanenergy_energy stocks,"['enkiai', 'clean energy', 'cleanenergy', 'energy stocks', 'clean', 'renewableenergy info', 'enkiai com', 'contact enkiai', 'cleanenergy info', 'enkiai insights']","['💰 CDPQ’s CAD10B Clean Energy Play! 💰 🔹 CDPQ acquires Innergex in massive renewable energy deal 🔹 58% share premium for investors 📊 Want insights like this? Contact EnkiAI! 🔔 Follow for more updates! #RenewableEnergy #CleanInvesting #EnkiAI enkiai.com', '💥 Fortescue Slams Big Oil: “Your customers want green energy” 🟢 Fortescue plans zero fossil fuels by 2030 💰 $1.2B saved yearly switching to green Contact EnkiAI to get such insights. Don’t forget to follow for more developments! #EnergyTransition #EnkiAI #NetZero enkiai.com', '🔥 Indiana Bill Redefines \'Clean\' Energy 📜 SB 178 labels nat gas & propane as ""clean"" 🏭 May unlock federal funds for AES plant 🌍 Critics say methane ≠ green Contact EnkiAI to get such insights. Don\'t forget to follow for more developments. #EnergyPolicy #NaturalGas #CleanEnergy #EnkiAI enkiai.com']"
26,117,26_republicans_democrats_republican_republicans climate,"['republicans', 'democrats', 'republican', 'republicans climate', 'party', 'gop', 'republican party', 'dems', 'controlling', 'control weather']","['still does not answer my post i had to you a bit ago but lets go with this point. if democrats were too closely aligned with corporate interests, did they forget the GOP has that issue too? they flat out lie about climate change because oil money, trump is more corp then any democrat.', 'Lincoln project GOP culpable for our STUPIDITY,ALWAYS voted NO on healthcare, unions,family&student aid,climate change science,divided us w/undeserving poor,ridiculed smarts,validated religion,producing stupid,tired,insecure,sick,brainwashed idiots,obedient workers,consumers&voters best for corps/1%', 'They also think that the Bible is literally true, the earth is less than 10,000 years old (and flat), ivermectin cures COVID, COVID isn’t real, deporting millions of immigrants will reduce the price of eggs, there is no climate change, Democrats control the weather…']"
27,116,27_sustainable sustainable_isn sustainable_implode_sustainable current,"['sustainable sustainable', 'isn sustainable', 'implode', 'sustainable current', 'sustainable people', 'sustainable just', 'sustainable', 'mean sustainable', 'defines', 'don sustainable']","['Yep! Fully sustainable. Stopped all purchases except bulk staples. Started a garden. Bought a freeze dryer, actively storing and preserving food in Mylar, erected rain collector, went solar, bought EV, stockpiling water, shorted market, hardened domicile, and hunkering down awaiting the collapse.', 'Nah, we, the people, have been abused by forces that saw what a cash cow the baby boomers were. (I am one 😒) The accelerant was the greed is good ‘80s. Markets of all kinds noticed “buying power” of BBs from the 70s “culture revolution.” That aggressive attitude is never sustainable. Ergo today.', ""The thing is, it wasn't sustainable. We got mostly back to normal thanks to vaccines, the people who kept supply chain disruptions from unravelling everything & Jay Powell nailing a 'soft landing'. Could've been a LOT worse & don;t recommend doing it again! 3/fin""]"
28,109,28_tax credits_energy tax_big beautiful_credits,"['tax credits', 'energy tax', 'big beautiful', 'credits', 'inflation reduction', 'reduction act', 'senate', 'ira', 'tax', 'districts']","['""Those tax credits and the bill that enabled them — the Inflation Reduction Act, or IRA, the Biden administration’s signature climate policy — helped launch 750 clean energy projects credited with creating 400,000 new jobs and over $422 billion in investments. ""', 'Robert Reich A new analysis estimates the Trump/GOP budget\'s rollback of clean energy tax credits will eliminate nearly 830,000 jobs by 2030 and raise energy prices by 50% by 2035. Just another way the ""big beautiful bill"" will make the economy worse and your life more expensive.', 'House Republicans have passed the ""One Big Beautiful Bill,"" which targets the Inflation Reduction Act\'s clean energy tax credits. This could threaten over 830,000 clean energy jobs and increase household energy bills by over $230 by 2035, especially in Georgia. GOP lawmakers support.']"
29,109,29_fashion_sustainable fashion_cutt ly_cutt,"['fashion', 'sustainable fashion', 'cutt ly', 'cutt', 'eco friendly', 'eco', 'clothing', 'sustainablefashion', 'friendly', 'shop']","['Fashion week 2025 saw a stunning fusion of sustainable innovation and bold creativity, with designers embracing eco-friendly fabrics and futuristic silhouettes. From recyclable couture to AI-inspired aesthetics, the event set new standards for conscio... check celebrity cloths: cutt.ly/GrRd2il8', '""Stars who slay the fashion game! Celebrities like @Beyonce, @Rihanna, and @Oprah are redefining style with bold, sustainable fashion choices. From eco-friendly brands to inclusive sizing, the red carpet is getting greener #CelebApprovedFashion #SustainableS... source link: tinyurl.com/nmtvnews', '""Red Carpet Revamp: The Rise of Sustainable Celebrity Wardrobe Trends. From Gucci\'s vegan lines to Emma Watson\'s second-hand shopping sprees, stars are redefining luxury fashion. Who\'s leading the eco-friendly fashion charge? #SustainableFashion #CelebritySt... source link: tinyurl.com/nmtvnews']"
30,88,30_energy clean_shower_apartment_oven,"['energy clean', 'shower', 'apartment', 'oven', 'kitchen', 'having clean', 'clean room', 'cat', 'clean', 'cleaning']","[""Good morning, Happy Friday everyone! I've been pretty low energy the last few days. Probably due to seasonal allergies with all the wind and dust lately. Going to power through the day and try my best to do some exercise after work 🏃🥵 Green chocobos are the best!! 💚 #FinalFantasy7Rebirth"", ""I need to clean it because it's so bad I don't have anything to eat with but it's like this because the past 10 ish days I've actively not wanted to be here and I can't focus on cleaning or have the energy for it 😭I know I need to just force myself to clean but I can barely do anything"", ""lol lmao every single time I actually have energy and time to really clean my apartment (which has only happened like 3 times tbf), the dumpster is extra full because our garbage didn't picked up (and pickup day is on Monday, and next Monday is Memorial Day.........) this is such a weird curse, lmao""]"
31,88,31_renewables_renewable_wind solar_renewable energy,"['renewables', 'renewable', 'wind solar', 'renewable energy', 'wind', 'cost', 'hydro wind', 'cost energy', 'fuels', '2507']","['“Every major renewable — geothermal, hydro, wind, solar in particular, even offshore wind — is lower cost than fossil fuels” on average, globally. But sure Trkmp, everyone hates windmills and solar panels. 🙄 grist.org/energy/calif...', 'Renewables continue to prove themselves as the most cost-competitive source of new electricity generation. 91% of newly commissioned utility-scale renewable capacity delivered power at a lower cost than the cheapest new fossil fuel-based alternative. www.irena.org/Publications...', 'Yet U.S. policy just took a big turn away from the fastest-growing energy production technologies: renewables like wind, solar and battery storage. The Big Ugly Bill is actually really existential for major clean energy developments, especially wind and solar. www.pbs.org/newshour/nat...']"
32,87,32_epa_trump epa_repeal_agency,"['epa', 'trump epa', 'repeal', 'agency', 'greenhouse gas', 'greenhouse', 'epa plans', 'limits', 'finding', 'epa trump']","['The EPA* moved to roll back emissions standards for power plants claiming that the American power sector does not “contribute significantly” to air pollution. Electric power generation was responsible for 25 percent of US emissions in 2022, according to the EPA**. *Trump EPA **Science-based EPA', 'The U.S. Environmental Protection Agency (EPA) confirmed on Saturday that it was drafting a plan to eliminate all limits on greenhouse gases from coal and gas-fired power plants in the United States. 1/2 www.reuters.com/sustainabili...', 'The EPA is proposing to fully repeal the rules that limit greenhouse gas emissions from fossil fuel power plants, including coal, gas, and oil. The agency is now claiming that carbon dioxide from power plants doesn’t significantly harm public health or contribute to climate change. Yes, really.']"
33,86,33_ukraine_russia_putin_russian,"['ukraine', 'russia', 'putin', 'russian', 'sustainable peace', 'peace', 'peace ukraine', 'war', 'war ukraine', 'zelenskyy']","['Putin reiterated his demand for the elimination of the ""root causes"" of the war in Ukraine as a precondition for a peace agreement -- a reference to Russia’s initial war demands that directly contradict US, European, and Ukrainian efforts to achieve a just and sustainable resolution to the war.', '2/ ISW continues to assess that a strong Ukrainian military backed by Western security guarantees remains the most vital component of a stable post-war European security architecture, guaranteeing a sustainable peace in Ukraine and deterring future Russian aggression. isw.pub/UkrWar041025', '#Kyiv & #Europe: *Reject US demand for recognition of 25% of #Ukraine *Establish ""robust security guarantees"" w equivalent of #NATO article 5 *Fund Ukraine recovery thru frozen #Russia assets *Gradual easing of sanctions on Moscow w ""sustainable peace"" *Ukraine pursues #EU accession #UkraineWar']"
