cluster,topk_rank,cid,probability,text
4,5,bafyreifqjmtivvn6vhag5io5pv2uttx5u4ijjm7yh5624lgv3wahdyvi2a,1.0,"bc when all you do is see the world through eyes that rely on exploitation of resources like oil & gas (or humans) the Arctic melting looks like the pot of gold at the end of the rainbow

www.thearcticinstitute.org/mapping-russ..."
5,1,bafyreieasakjv7mha7yze5i7pjvqjfr6bsgb4amdhtsce5c6jsn6css4om,1.0,"1,100 coal mining employees have lost their jobs since Trump came into office (-2.7%). 

fred.stlouisfed.org/graph/?g=1M5s2"
5,2,bafyreihg3xo4dqbvyw6hrgs6d77g4s6y6sza7blxhcqferyfgass6ewsje,1.0,"My mom grew up in Coleman, it was my second home in my childhood years. So, so beautiful with great fishing and such beautiful mountains. I oppose ALL coal mining by that wretched billionaire:"
5,3,bafyreigcoszsngcapxpedm3c7tkqzq3xfrwcwvmv2xqmrux7dodkp2e4pu,1.0,"It's also Welsh history.

There is a book about the Welsh miner's emigration to Pennsylvania titled, 'Off to Philadelphia in the Morning' by Jack Jones.

#Wales #Welsh #Coal #MerthyrTydfil #Mining #Philadelphia"
5,4,bafyreicqqrgj756bctfa6fcz3pzd6cr7m5qrzhcim4hnpfv67yyqc5ansu,1.0,"Let’s start with the guy from the coal mining region, hmmm, oh! How about that crybaby JD Vance… he knows the Appalachians…"
5,5,bafyreieoxbr4c3uvfmvrkcpmxzuo5xrtwq4pdezquul2m5v2v3yyrfwqey,1.0,"Smoking in coal mines was a serious offence due to the fire risk, so many miners would chew tobacco instead. This tin is from an English mining town - belonging to John Cole from Castleford in West Yorkshire.

Find out more in Hooked www.rcpe.ac.uk/heritage/hoo..."
6,1,bafyreiaxb47vvqhkkbzb6ixvzpo4akrlarkqfk32n4o3l6jrnkazsjnutq,1.0,"Breaking 👀: EU, Canada, and Mexico slap tariffs on two booming U.S exports: pollution and measles."
6,2,bafyreibkm4uylxzyb5bbkyjncnusxr2iitrc5ckk6hutkkyqkdddn72emm,1.0,"So many pols only care about jobs in manufacturing, fossil fuel extraction or the private health insurance industry. At the expense of the rest of us.

Plus tariffing other countries to hell is going to really suck for domestic manufacturing, too. Isolationism ain’t it, Jared."
6,3,bafyreihna3f4xgsxrdomg5ujwlljownz3ebb6jugzvvqs76mqyw224ccae,1.0,We should establish tariffs equal to any price difference obtained through labor or pollution standards that are less than those to which our own businesses must adhere.
6,4,bafyreifjeq373hx3gdjam7hw72dg3a32s3n34gm6tt6bihtwbtjwbeaq7y,1.0,"Tariffs on oil and steel are smart. It will hasten the transition in the US to green tech and away from dying industries like automobile manufacturing.

Green New Deal FTW."
6,5,bafyreiac2dlj6t734zwfu5iokh3h5pjpxjmvvurmv6uua4hhzvrtt3d7ba,1.0,tariffs are insane and i don’t want to be a *huge* bitch but i am going to say that dropshipping was never the sustainable “small business” model y’all seemed to hope it’d be.
7,1,bafyreify7uq32gqfcvcinm26l3uhseprebiidnl7gf3gczy664deamjcta,1.0,"World Water Day 2025: DP World's Commitment to a Sustainable Water Future - CSRwire.com
->CSR Wire | #Sustainable #Water | More info from EcoSearch"
7,2,bafyreicl4jthws533oktuwuang5tazjj3bvg2qchr6orwt7yzhbntrxo7e,1.0,"wetlands restoration; stormwater management system upgrades; ""defensive upgrades"" to subways, roads, bridges; extreme weather preparedness and recovery; healthcare programs to treat climate change-caused illness; energy efficiency and weatherization building retrofits. nyassembly.gov/leg/?default..."
7,3,bafyreicl45jyofetijwbbywazmjaqq3ck6j7rhfwt34fsqkikmeyygyina,1.0,"A new UN data platform is tracking the health of millions of lakes, rivers and wetlands on Earth, revealing pollution hotspots, drought impacts and signs of recovery.

Check out the Freshwater Ecosystems Explorer – a bird’s eye view of our planet’s freshwater ecosystems: www.unep.org/news-and-sto..."
7,4,bafyreigrerjss4whqb7kwvcgta2nz2cqvpgax5f3xvj6pbae2phf24mgay,1.0,"4️⃣ Ensure fair and equal access to clean water
5️⃣ Promote sustainable water use as part of climate adaptation
6️⃣ Clean-up water resources from toxic remnants of war
7️⃣ Strengthen cross-border cooperation on water management."
7,5,bafyreifktjfmj3oymjifbtvnejslnfadfmspdftc2gisrj6hzmfd3uwisi,1.0,"As the #WetlandsCOP15 approaches, the call is clear: we must invest in wetlands as essential systems for people and the planet.

From Victoria Falls to urban green spaces, wetlands are key to addressing pollution, climate change, disaster risk and water insecurity.

#COP15Zimbabwe #RamsarCOP15"
8,1,bafyreibjnkwq4tvul2fcxi3ajhu6mamut4vffylq6refhl6vb7o2ragzeq,1.0,"#INC52 failed to produce a #PlasticsTreaty. But 100+ countries in Geneva pushed for real solutions, rejecting #fossilfuel greenwashing. Leaders must choose people and planet over industry greed. 

Read our full statement: tinyurl.com/49sn25y7
#BeatPlasticPollution"
8,2,bafyreic723k7ay5tio54fu2tma64olmpimqqfcfrnblmxykyv7v3ldcwpy,1.0,"Talks stall on world’s first plastic pollution treaty one day before deadline | Plastics

https://www.newsbeep.com/ca/69295/

Talks on the world’s first legally binding treaty to end plastic pollution have stalled just one day before…"
8,3,bafyreifi222he3puoxktxekz23c4wqsfx3kxn253b5ulnxyukkjdwv5vmq,1.0,"How serious is the global plastic pollution crisis? | Explained

https://www.europesays.com/2413018/

The story so far: Rapidly increasing plastic pollution is a serious global environmental issue as it significantly impacts…"
8,4,bafyreichlf3oomgddcmnoczsjiczh76n7yhrs4bhlqpa7nijd3ijcuvhbi,1.0,"""Plastic pollution talks collapse"" www.nytimes.com/2025/08/15/c..."
8,5,bafyreidnjoctbqruubv4hvyagb6zdztto32cvpy7cam3u6j6l6dydfbuka,1.0,"Our August issue is now live! 

Explore topics ranging from quantifying microplastics on Mount Everest to national laws protecting mangroves, plus an expert panel on chemical recycling and the future of plastics management!

Read it here: www.cell.com/issue/S2949-..."
9,1,bafyreifcbz73kdrfq4sg44n3wzkbnmuzd6suewb24eagcb3hnebelm2ysa,1.0,"The U.S. Environmental Protection Agency (EPA) confirmed on Saturday that it was drafting a plan to eliminate all limits on greenhouse gases from coal and gas-fired power plants in the United States. 1/2
www.reuters.com/sustainabili..."
9,2,bafyreibmvhgh6dfcbjy33vl3s6gnmx4ojtxipugzulglq4kficjujxqz3e,1.0,EPA calls for rolling back companies' greenhouse gas reporting - the oligarchs are in control www.axios.com/2025/09/12/e...
9,3,bafyreibv4kg6aj6lyjrl544mx5xdpvxrckmeyjm6ogxickptytteymh7fe,1.0,EPA Administrator Zeldin is poised to stop regulating the #climate pollution responsible for putting our weather on steroids & threatening people's well-being. This is shameful. TAKE ACTION via @CleanAirMoms actnow.momscleanairforce.org/a/endangerme...
9,4,bafyreidbv2khl27hsfc4sjsasibc56xlg6bsibs5mvufvbz3nvzxx4bte4,1.0,"Promising to drive “a dagger through the heart of climate-change religion,” Environmental Protection Agency Administrator Lee Zeldin on Wednesday outlined plans for an aggressive rollback of environmental regulations.

www.nbcnews.com/science/envi..."
9,5,bafyreia6v5dcrjjdjcjo6pymc5cm3h7u4reoxuu4mni5jq5wa3wvhpw2fa,1.0,"Report: EPA wants to end greenhouse gas limits on power plants

https://triblive.com/news/world/report-epa-wants-to-end-greenhouse-gas-limits-on-power-plants/"
10,1,bafyreidqhdegjhm2nur7hgcvhlhbm2heoyljf42jsnwxu2wit5xuw2tek4,1.0,"Europe’s waters are NOT in good health.

This threatens not only aquatic wildlife but also our access and use of clean water for drinking and food!

We need action to effectively address chemical water pollution!

#ProtectWater #CleanWater"
10,2,bafyreiczxp3yxltca6npttofdsdzc46ib7j2nbl7aaq26uype5dlw5jebe,1.0,"Do you think that the Chief Executives of water companies should or should not receive prison sentences if they are found to be responsible for serious incidents of water pollution?

Should: 70%
Should not: 13%

yougov.co.uk/topics/consu..."
10,3,bafyreickq3eaiyyo5sbd2syr465vdrns6fth23jcnlaznkdszy6j2g2orm,1.0,"“2,487 water pollution incidents recorded in 2024, say campaigners” — MSN

#EnvironmentalNews #Pollution #Environment"
10,4,bafyreihhyhih2u3rede6p2k3odmjqqvz5j4ma445rf66nnmd55jk37d4ty,1.0,"Serious water pollution in England up 60%, government says

www.bbc.co.uk/news/article...

#water #pollution #sewage #environment"
10,5,bafyreibagm6zrt2rdhz4rgkoqwt3hqdlqdolpgu6k3j3cangdgepvy7v7q,1.0,Sad to report yet another major river pollution incident today and given the glacial speed of response from the authorities any recourse will probably be years in the making @saveourswale.bsky.social @sascampaigns.bsky.social  thenortherneco.substack.com/p/slurry-spi...
11,1,bafyreifpxxmbr4gjnlb6ugdilsy5mrndosjwjq7e35hsgadqrdghctshui,1.0,"That “gold standard” being a poorly and fictionally sourced MAHA report…

What a puff piece on the worst purveyors of disinformation, anti-science junk and “influencer” grifters."
11,2,bafyreidgn3newrywkbqh5g5djmvoqrelugs3izlic64lqcl4kzmdvc3dha,1.0,"""Contentious"" !?! ffs it is junk science and pure lies."
11,3,bafyreid45xkasf6xfw3glnau2yfzxpnnpuz5iwuyqnlthjsiiknyrpccli,1.0,"I'm sorry, I can't take the phrase 'Junk Science' seriously in a professional document. 

This is insane. When this administration ends the powers of executive orders needs to be curbed."
11,4,bafyreiaraw3sn3ty6elkwqz7vkm56dn2h5p4f7cr4l7o4h24mzl3kymome,1.0,"Junk Science, is anyone surprised a GODLESS religion and their dear leader & his administration would be big believers in junk science? They can make anything up to say what they want it to say; or the truth will show their abject ignorance. He hired one of the biggest peddlers of ... 1"
11,5,bafyreih7uqy7srncqsbxgqn6u277gpyj4kboax6ehwuuuuqqzoadlcdcdy,1.0,"Junk ""science"", ignorance, stupidity, and lies are rampant; most Americans have no idea what science is or does:
www.nature.com/articles/d41..."
12,1,bafyreihczt6v4ir5ai2vmt3uxtjdte4mlf75mz76ycgogst6mg4suu4jku,1.0,"From what I call 'No Light Photography'.
Pick a dark night, no Moon, no light pollution. Completely dark.
This is an eight minute exposure. Then check your photo and recompose if needed, and take another one :)
#longexposure #nightphotography #seascape #landscape"
12,2,bafyreidcaxtysbsgtgaekgxkbu57rbof2gcnmm6zau2r4fi2xcy4luv5hi,1.0,"an item in latest New Scientist....for anyone, like myself, who lives in the Southern Hemisphere, the Milky Way is visible to greatest advantage at this time of year.
Even better if you can view it from well away from the luminescence of city light pollution   ...it is stunningly beautiful"
12,3,bafyreieflnluxonqr2kbsp4veoopdunsofrhndsltqcvvltqgojr2ggpg4,1.0,"I really feel that... I grew up in a rural area, and even though there was still light pollution creeping up the edge of the sky, you could still see the stars, especially in winter. I miss them badly. It feels like I haven't seen them in years."
12,4,bafyreigwrswn53lpubwrtigjd3eepu6kae55cgrmgew6gllug553hvevfq,1.0,"Blood Moon Total Eclipse. It's Pittsburgh, which usually means horrid seeing for astronomical events. There's a haze & some acrid pollution. I can only see a handful of stars. Around here, that's amazing.

Cataract surgery: I can see this without glasses, for the first time in probably 58 years.
🧪🌌🥮"
12,5,bafyreibdvk5vnwaf5pzf2aq7tbe7ep7ac6b6w5zivxyj6fsczm7gjy6yt4,1.0,My dark sky quilt is finally finished and will be gifted to a couple who just sold their house in the city to enjoy life in the country. Stars emanate from their new corner to fill  the night sky with light while the sky above the city is filled with light pollution.  #quiltsky #darksky #stargazing
13,1,bafyreieqeri5iewomdpauw5rz4xxvw7em7p4hgmkfxssd53h6gphbgdfum,1.0,Our new study documenting dramatic respiratory health benefits following the closure of a fossil fuel coal coking plant is out! Pediatric asthma Emergency Dept. visits were especially reduced. Transitioning away from fossil fuels will yield a healthier humanity. www.atsjournals.org/doi/10.1164/...
13,2,bafyreig3pght2jo63bwk7ybwyf7lgxzjdv4kbbmeiq6iaj7ltnj6xynddu,1.0,"Weather Alert for Phoenix, AZ (2025-07-06 12:56:15 EST):
Weather Alert
AQAPSR

The Arizona Department of Environmental Quality (ADEQ) has issued an
Ozone High Pollution Advisory for the Phoenix Metro Area on Monday.

This means that forecast weather conditions combined w..."
13,3,bafyreibpnkrtkxgamyngrlbsy4ha5ksnwss3j3tht6jhuoo6xqvort3kpi,1.0,"Epigenetics Update - Developmental air pollution exposure augments airway hyperreactivity, alters transcriptome, and DNA methylation in female adult progeny go.nature.com/3Du2rrq

#Epigenetics #Asthma #DNAmethylation
---

Discover the breakthrough at epigenome.us"
13,4,bafyreid7vcswofv7tpmyyotkfrn44kur3o5lvy52iadpisbagyxyvstzye,1.0,West Virginia teens allege EQT pollution caused serious medical issues share.google/GXOtRWBAajy1...
13,5,bafyreicd2l37l2motfdfluco2275n2ercqyfd3hwml2kmja3ioq7z6mk5i,1.0,The worst pollution...
14,1,bafyreih4343nz4rnbzvzujzlw5j2fooxoczh6v63e4ilrjbja3iigh4dxm,1.0,"Yes, it’s all fossil fuel propaganda. No mention of the fact that almost all hydrogen is produced by cracking natural gas, which emits CO2. In fact, as much CO2 as burning that gas - except you then get less energy out of burning the hydrogen, so it’s even worse for the planet."
14,2,bafyreicdtbopfhzk2cmu4mohpcihbtfn2g2apuglwpuqtftkszzwsjjqry,1.0,"Methane is a very potent greenhouse gas. 

But ignore those consequences."
14,3,bafyreid5yaxww5bjre4vvz5ltecyup2lmydhbygjpuspuzfqrblfx4kpl4,1.0,"Keep in mind that this still means we're extracting methane (a major greenhouse gas) and then transporting it to countries that combust it into CO2 (another greenhouse gas).

A low-emission plant is nice, but it doesn't negate the fact that we're exporting greenhouse gases. 🌎"
14,4,bafyreifexreqvoab2js2y34gvatnnqfvcqfd7fpsoqzvtp2chebogjr5ae,1.0,"Climate scientists told us about natural cycles, the same people telling us now that it’s absolutely urgent to stop emitting greenhouse gases into the atmosphere, particularly the massive injection of CO2 & methane from oil, coal, & gas that  were buried deep within the earth for millions of years."
14,5,bafyreief64dgb76ntktgd77xjgdfrmzic4yn3ebzxyfbjgsevymxoxqoo4,1.0,"Oil and gas production means methane emissions. More production, higher emissions. 

If we don't stop increasing oil and gas production we have little hope of reining in methane emissions which we know is our best/only chance to slow global warming before 2050."
15,1,bafyreid6rjivcjowgak7ofvek7c7z3sksegvwodxndzujkox6fznt2mhmq,1.0,"youtu.be/airxjyAio_A?...

Climate change anthem  #IWannaBeCool, features over 2,500 young singers from four continents! #BeCoolCampaign offers it  free for organizations to use. climatemusic.org

#climatesongs #climatemusic @thirdactorg.bsky.social  #thirdactcreatives 
#protestsongs #climateart"
15,2,bafyreigww2yqnhwyt2fmn6236rxwmelk35no2nkvxmgz4t5xlaqaaj4tlu,1.0,"My new song ""Global Warming 2.0"" is now on Amazon Music: 
music.amazon.com/albums/B0FMQ...

#EllySpace #music #electropop #electronicmusic #pop 
#popmusic #newsong #AmazonMusic"
15,3,bafyreifzjn5lcjkdkok5ba2axb5owsm6zkvtpljvnxhanukqeywg4xlxmi,1.0,"Did you know that Marillion’s Season End (song) is a social commentary on climate change ? 🤔 

or did you honestly think it’s a romantic ballad ?🥳🤩

…better start reading the lyrics Jack (and Jill) 😜😂"
15,4,bafyreibn53u4r3e55266sxy65hfjkzkcr5i7f4sinb5fv5qiavu37elmxm,1.0,"youtube.com/watch?v=Wes_... MTA introduces submarine rides to Statue of Liberty/Ellis Island, because climate change is a total win"
15,5,bafyreic7aakyxhugtq7fem66ksqxavxtzqkepwdvonill3s554mbjkwymi,1.0,"Jill Sobule- A Happy Song About Global Warming (from 2006- fucking ooph)
youtu.be/9zcSdv3j7zs?..."
16,1,bafyreigfuhmnotsicq6ndrepavmoqxve3imzcpszmysolnhxdh7co2tbe4,1.0,"EVs aren’t here to save the car industry—they’re disrupting it. Legacy automakers resisted them. It was Tesla, BYD, and others who forced change. EVs cut emissions, boost energy resilience, and align with clean tech shifts. This isn’t preservation—it’s a tech-driven upheaval."
16,2,bafyreidy2fgt5kzxvnagrbrhc2unmg7igp72azylupbbmw4n3topumd2qy,1.0,"🔋🚗💰 Canada’s walled-off, uncompetitive car market is keeping the best options from the many Canadians who do, in fact, want EVs, write Clean Energy Canada's @racheldoran.bsky.social and @joannakyriazis.bsky.social.

New op-ed in @thestar.com👇 

#cdnpoli #uspoli #EV"
16,3,bafyreide424nolafgntx5oze36k6sf4sxqzncrdy3dkw375ksnbzj2magq,1.0,"The review also discusses the limitations and prospects for practical applications of EVs in the dairy industry, paving the way for a more sustainable and efficient future."
16,4,bafyreibf7exli3envuddhmcxg23wwwcxs4ypirrgooj5v3qbaxqsarcssa,1.0,"EVs are better from the point of view of CO2 emissions and climate change, but that is complicated. One thing is real simple though... if you live in a city and would like to breathe clean air that doesn't make you and your kids sick, then EVs are for you."
16,5,bafyreibvjhjvjbf4jhqinc3a6uysniuixxjnbqwhzt4fps4er5rdxvalba,1.0,"“The EPA is targeting EVs by dismantling a vehicle pollution rule the Biden administration finalized in March 2024, which – by mandating less pollution from cars – would have pushed US automakers to produce more EVs and fuel-efficient hybrid models that run on a mixture of gas and small batteries.”"
17,1,bafyreicufzv3gcjbva6zxdz74blz2auvlqdyrldmaaurnwpe5mqddn3z7y,1.0,"Sure, once you have hydrogen it’s good for transportation but how the hydrogen is obtained is significant in the overall energy cost. It’s created either from fossil fuel or by electrolysis. The latter is clean but uses a huge amount of electricity to generate. It’s not propaganda, it’s fact."
17,2,bafyreiahgwqnodhp4ov5z4gn2fvouskbced7fnpshpzsvuxo6h5ic2dee4,1.0,The Hydrogen Academy aims to increase education and develop awareness of new sustainable hydrogen technology to help Europe transition to climate friendly energy. The European partners work collaboratively to further education on hydrogen technology and help bring young people into the sector.
17,3,bafyreichph6bx3niwrescwbnbivynt3k37oehqbhro2y3wtexqqc2yiqua,1.0,"Yup! I'm not one bit a ""Hard science"" type but even I know chasing pure hydrogen as a solution is futile, not practical, near impossible to ensure the smallest molecule can't escape without energy intensive processes, even then not guaranteed & if it escapes in big enough amount MORE Greenhouse gas🤦🏻‍♂️"
17,4,bafyreibm2ydgjyodqc25uqp4bnwsojjeo26ufaecxu777k74ioyrwb7fyi,1.0,"""Compressing or liquefying it carries a significant energy and economic cost. 
But Australia, which hopes to become an exporter of green hydrogen, has come up with an affordable method of transporting it in powder form.""

fuelcellsworks.com/news/austral..."
17,5,bafyreigg2nwsuy2fnz73dz5kbfbi7k7hv5mjbbt63thmvziwl3rdlzu4ce,1.0,"#CanadianNews - Researchers at the University of Saskatchewan are learning how existing natural gas pipelines could transport hydrogen in the future.
Hydrogen has been gaining popularity worldwide as a potential clean, sustainable energy source.
www.ctvnews.ca/saskatoon/ar..."
18,1,bafyreiaijtrzftf5edzkf5tn3wrckv7tixc6qe4mkvjrbha76ezxyj5lae,1.0,I just signed @australiainstitute.org.au's petition: Reject Australia's Biggest Fossil Fuel Project! Will you join me? nb.australiainstitute.org.au/reject_north...
18,2,bafyreigorovy42weqcx7vby7656s5lepb5pngzdg5eju2gjbs3zx36samu,1.0,"The slightest whiff that the 'pro-nuclear' obsession of the Australian National Party (a blatant attempt to derail clean energy in favour of coal power forever) might be reconsidered by the new Liberals leader - and bam, the right-wing Coalition is dead, killed by climate change denial."
18,3,bafyreia23flwymejif7hq6boupexyxdye2ot2byd6rcysxjbvyb5bajywe,1.0,"The latest greenhouse gas emissions figures show Australia emits more gas now than when the government was elected. 

But the govt wants us to believe we are ""on target"" to achieve 43% cuts below 2005 levels by 2030. 

Enough with the spin: we need to stop approving new coal & gas mines *now*."
18,4,bafyreieksdwgxvta56g73hp7fdsfsusyu4ho57t7av24eqvtg5skl4ifxe,1.0,We have to ask why the Australian Minerals Council is going pro-nuclear because uranium is only a tiny fraction or resources mined here. It is simply because this policy really means mining much more coal and gas. It's a scam of epic proportions.  www.theguardian.com/australia-ne...
18,5,bafyreieefthlvoqjc2xe3nshoaofqaciqvweaawkn2z36qrmwtdzm7cy4m,1.0,"www.theguardian.com/environment/... 
Labor accused of ‘gaslighting’ Australians on climate crisis as fossil fuel projects keep getting approved
‘They offer sympathy and then just go and approve massive fossil fuel projects anyway,’ one advocate says"
19,1,bafyreie6u56w6ax5hgewlqgzfdmgmk4f2qmkugxcdhjy3vabwwydgze45m,1.0,"Way to go Ukraine! 🇺🇦 we need to admit Ukraine into NATO asap and anybody who disagrees is a neonazi magat. Putin won’t stop with Ukraine, the only bigger threat to us than Russia is Climate Change right now. We MUST ACT. We can’t let Trump cut aid to Ukraine. #istandwithukraine"
19,2,bafyreieiikanwjq5j6vb52et7mvrksmotmpfu56qad333rpebdkw3lwraq,1.0,"Further, as folks define their positions I'd like to introduce another awkward reality to keep in mind: While a deal that gives Russia Ukraine makes Europe least stable, even a sustainable deal still sets the stage for an unstable deterrence-based Europe. 9/14"
19,3,bafyreic32aoxlkuyvva4k32fwmlhr5ecxxgxk4zmbuobb2cfxyzl6kann4,1.0,"    Putin reiterated his demand for the elimination of the ""root causes"" of the war in Ukraine as a precondition for a peace agreement -- a reference to Russia’s initial war demands that directly contradict US, European, and Ukrainian efforts to achieve a just and sustainable resolution to the war."
19,4,bafyreibu7dpiprcjqlyusmwyperfio7gyxcaoosh5orcjykb4owjgwyg4q,1.0,"2/  ISW continues to assess that a strong Ukrainian military backed by Western security guarantees remains the most vital component of a stable post-war European security architecture, guaranteeing a sustainable peace in Ukraine and deterring future Russian aggression. isw.pub/UkrWar041025"
19,5,bafyreidzs4ov65fnz4vgrmgpfdyjfutlk4mvqz3cgfn2syolqgsozvwxra,1.0,"Keir Starmer: ""We can win a war with Russia and should do war on Russia today. Why? Russiahitlercommunistputin is why!"""
20,1,bafyreigm2cqjqnjs5fsydscz2g6psmegnyw4ahlxgtsyjqy4xzmi2ebrci,1.0,Greenwashing. 😉
20,2,bafyreicpyzbzbrhbauvrlpuxxinkutbml3oxzxnbgzqzc75m2qubn2vuga,1.0,"“Not everything we call eco, natural or ‘green’ actually is better for the environment, and sometimes we might be lured into a greenwashing trap by a brand’s packaging.”

Greenwashing isn’t the exception. It’s the business model.
apple.news/AXT7kIeUWR8q..."
